cost,distance,delivery_time_hours,quantity,segment,customer_type,category,sub_category,city_x,city_y,store_type,departure_date,arrival_date,total_mass_kg,departure_season,arrival_season
103.57,80,63,3,B2C,Физическое лицо,Электроника,Мобильные устройства,Москва,Нижний Новгород,Розничный,2023-12-17 15:51:00,2023-12-20 06:51:00,0.51,Зима,Зима
1031.03,920,31,8,B2B,Юридическое лицо,Бытовая техника,Крупная техника,Казань,Владивосток,Розничный,2023-06-02 12:39:00,2023-06-03 19:39:00,480.0,Лето,Лето
1031.17,564,37,4,B2B,Физическое лицо,Электроника,Мобильные устройства,Сочи,Сочи,Розничный,2023-09-09 17:30:00,2023-09-11 06:30:00,2.0,Осень,Осень
1031.61,783,13,2,B2C,Юридическое лицо,Одежда,Мужская,Москва,Москва,Розничный,2023-07-06 08:58:00,2023-07-06 21:58:00,1.4,Лето,Лето
1031.83,878,38,10,B2C,Физическое лицо,Бытовая техника,Крупная техника,Казань,Новосибирск,Оптовый,2023-03-19 05:26:00,2023-03-20 19:26:00,600.0,Весна,Весна
1032.75,713,58,7,B2C,Юридическое лицо,Бытовая техника,Малая техника,Новосибирск,Краснодар,Розничный,2023-09-01 17:29:00,2023-09-04 03:29:00,24.5,Осень,Осень
1032.86,881,19,10,B2B,Физическое лицо,Бытовая техника,Малая техника,Казань,Владивосток,Оптовый,2023-11-16 14:53:00,2023-11-17 09:53:00,90.0,Осень,Осень
1033.16,854,12,10,B2C,Физическое лицо,Бытовая техника,Крупная техника,Сочи,Екатеринбург,Розничный,2023-09-24 02:09:00,2023-09-24 14:09:00,600.0,Осень,Осень
1034.18,862,57,8,VIP,Юридическое лицо,Электроника,Компьютеры,Казань,Санкт-Петербург,Оптовый,2023-04-24 09:54:00,2023-04-26 18:54:00,17.6,Весна,Весна
1035.45,921,58,5,B2C,Физическое лицо,Одежда,Женская,Казань,Новосибирск,Оптовый,2023-10-21 02:39:00,2023-10-23 12:39:00,1.5,Осень,Осень
1036.66,947,60,1,B2C,Юридическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Краснодар,Розничный,2023-08-25 07:03:00,2023-08-27 19:03:00,9.0,Лето,Лето
1037.02,688,2,7,B2C,Физическое лицо,Спорттовары,Тренажеры,Новосибирск,Москва,Розничный,2023-09-16 09:37:00,2023-09-16 11:37:00,184.1,Осень,Осень
1037.44,793,67,4,B2C,Физическое лицо,Электроника,Аксессуары,Новосибирск,Сочи,Розничный,2023-08-21 23:35:00,2023-08-24 18:35:00,0.052,Лето,Лето
1039.03,537,39,4,B2C,Физическое лицо,Бытовая техника,Крупная техника,Новосибирск,Екатеринбург,Розничный,2023-07-05 01:32:00,2023-07-06 16:32:00,240.0,Лето,Лето
1039.55,958,9,4,B2C,Физическое лицо,Электроника,Компьютеры,Нижний Новгород,Новосибирск,Розничный,2023-11-26 14:47:00,2023-11-26 23:47:00,20.0,Осень,Осень
1039.57,749,27,6,B2B,Физическое лицо,Спорттовары,Тренажеры,Нижний Новгород,Санкт-Петербург,Розничный,2023-12-27 07:07:00,2023-12-28 10:07:00,157.8,Зима,Зима
104.1,168,72,8,B2B,Физическое лицо,Электроника,Компьютеры,Казань,Новосибирск,Оптовый,2023-09-01 00:11:00,2023-09-04 00:11:00,17.6,Осень,Осень
104.28,65,59,8,B2C,Физическое лицо,Электроника,Мобильные устройства,Москва,Калининград,Розничный,2023-03-25 05:23:00,2023-03-27 16:23:00,1.36,Весна,Весна
104.43,61,63,8,B2C,Физическое лицо,Бытовая техника,Крупная техника,Москва,Калининград,Розничный,2023-06-02 05:16:00,2023-06-04 20:16:00,560.0,Лето,Лето
104.44,108,5,3,B2C,Физическое лицо,Бытовая техника,Малая техника,Сочи,Калининград,Розничный,2023-10-25 19:20:00,2023-10-26 00:20:00,10.5,Осень,Осень
104.5,183,72,3,B2C,Физическое лицо,Электроника,Аксессуары,Новосибирск,Москва,Розничный,2023-09-20 00:38:00,2023-09-23 00:38:00,0.039,Осень,Осень
104.62,83,64,8,B2C,Физическое лицо,Электроника,Аксессуары,Москва,Владивосток,Розничный,2023-08-15 11:28:00,2023-08-18 03:28:00,0.24,Лето,Лето
104.88,97,31,10,VIP,Физическое лицо,Бытовая техника,Крупная техника,Нижний Новгород,Екатеринбург,Розничный,2023-09-25 04:50:00,2023-09-26 11:50:00,700.0,Осень,Осень
104.92,192,63,1,B2C,Физическое лицо,Бытовая техника,Крупная техника,Казань,Казань,Розничный,2023-12-28 12:53:00,2023-12-31 03:53:00,60.0,Зима,Зима
104.98,172,24,6,B2B,Физическое лицо,Бытовая техника,Малая техника,Казань,Краснодар,Розничный,2023-10-13 08:16:00,2023-10-14 08:16:00,18.3,Осень,Осень
1040.56,621,24,3,B2C,Юридическое лицо,Электроника,Мобильные устройства,Новосибирск,Нижний Новгород,Розничный,2023-02-17 17:26:00,2023-02-18 17:26:00,1.5,Зима,Зима
1041.75,904,35,2,B2C,Физическое лицо,Спорттовары,Тренажеры,Москва,Владивосток,Розничный,2023-07-17 18:49:00,2023-07-19 05:49:00,52.6,Лето,Лето
1041.85,621,60,4,B2C,Физическое лицо,Электроника,Мобильные устройства,Москва,Москва,Розничный,2023-08-18 09:14:00,2023-08-20 21:14:00,0.68,Лето,Лето
1041.94,976,12,4,B2C,Физическое лицо,Электроника,Мобильные устройства,Москва,Москва,Розничный,2024-01-01 03:17:00,2024-01-01 15:17:00,0.68,Зима,Зима
1044.11,678,53,8,B2C,Физическое лицо,Электроника,Мобильные устройства,Новосибирск,Москва,Розничный,2023-12-08 16:43:00,2023-12-10 21:43:00,1.36,Зима,Зима
1044.4,844,52,1,B2C,Физическое лицо,Бытовая техника,Малая техника,Сочи,Нижний Новгород,Розничный,2023-01-21 08:35:00,2023-01-23 12:35:00,9.0,Зима,Зима
1044.54,661,36,9,B2C,Физическое лицо,Одежда,Женская,Москва,Краснодар,Розничный,2023-01-21 03:04:00,2023-01-22 15:04:00,5.4,Зима,Зима
1044.71,697,47,5,B2C,Юридическое лицо,Бытовая техника,Малая техника,Москва,Калининград,Розничный,2023-01-26 12:52:00,2023-01-28 11:52:00,87.5,Зима,Зима
1044.76,764,35,3,B2C,Физическое лицо,Электроника,Компьютеры,Казань,Санкт-Петербург,Оптовый,2023-05-09 08:33:00,2023-05-10 19:33:00,15.0,Весна,Весна
1044.83,665,18,2,VIP,Физическое лицо,Одежда,Унисекс,Сочи,Владивосток,Розничный,2023-07-12 23:14:00,2023-07-13 17:14:00,0.36,Лето,Лето
1044.85,626,2,10,B2C,Физическое лицо,Одежда,Мужская,Казань,Новосибирск,Оптовый,2023-08-29 13:41:00,2023-08-29 15:41:00,3.0,Лето,Лето
1045.35,751,3,5,B2C,Физическое лицо,Одежда,Мужская,Москва,Казань,Розничный,2023-08-04 09:55:00,2023-08-04 12:55:00,2.5,Лето,Лето
1045.36,634,29,7,B2C,Физическое лицо,Электроника,Аксессуары,Казань,Новосибирск,Оптовый,2023-03-02 12:11:00,2023-03-03 17:11:00,1.75,Весна,Весна
1045.64,685,62,9,B2C,Физическое лицо,Электроника,Мобильные устройства,Казань,Краснодар,Оптовый,2023-12-31 12:58:00,2024-01-03 02:58:00,1.53,Зима,Зима
1045.72,617,36,3,B2C,Юридическое лицо,Бытовая техника,Малая техника,Москва,Санкт-Петербург,Розничный,2023-09-19 17:14:00,2023-09-21 05:14:00,10.5,Осень,Осень
1046.5,615,48,8,B2C,Физическое лицо,Электроника,Мобильные устройства,Новосибирск,Нижний Новгород,Розничный,2023-01-02 17:02:00,2023-01-04 17:02:00,1.36,Зима,Зима
1046.63,971,24,9,B2C,Физическое лицо,Электроника,Компьютеры,Москва,Санкт-Петербург,Розничный,2023-06-27 04:12:00,2023-06-28 04:12:00,19.8,Лето,Лето
1047.65,700,53,10,B2C,Юридическое лицо,Электроника,Мобильные устройства,Новосибирск,Санкт-Петербург,Розничный,2023-12-11 22:59:00,2023-12-14 03:59:00,1.7000000000000002,Зима,Зима
1047.89,614,49,5,B2B,Физическое лицо,Бытовая техника,Малая техника,Сочи,Калининград,Розничный,2023-01-26 04:55:00,2023-01-28 05:55:00,4.9,Зима,Зима
1047.95,753,32,5,B2C,Юридическое лицо,Электроника,Аксессуары,Москва,Владивосток,Розничный,2023-01-01 07:14:00,2023-01-02 15:14:00,0.15,Зима,Зима
1048.05,899,12,10,B2C,Юридическое лицо,Одежда,Унисекс,Санкт-Петербург,Краснодар,Розничный,2023-06-27 00:22:00,2023-06-27 12:22:00,1.7999999999999998,Лето,Лето
1048.41,919,31,9,B2C,Физическое лицо,Одежда,Унисекс,Новосибирск,Калининград,Розничный,2023-10-16 20:37:00,2023-10-18 03:37:00,3.6,Осень,Осень
1048.44,854,11,8,B2B,Физическое лицо,Одежда,Женская,Москва,Санкт-Петербург,Розничный,2023-03-04 16:30:00,2023-03-05 03:30:00,2.4,Весна,Весна
1049.04,838,3,5,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Москва,Розничный,2023-01-28 06:20:00,2023-01-28 09:20:00,17.5,Зима,Зима
1049.08,676,67,6,B2C,Физическое лицо,Спорттовары,Тренажеры,Казань,Владивосток,Оптовый,2023-03-02 23:59:00,2023-03-05 18:59:00,157.8,Весна,Весна
1049.27,732,40,2,B2C,Физическое лицо,Бытовая техника,Малая техника,Новосибирск,Санкт-Петербург,Розничный,2023-05-08 07:20:00,2023-05-09 23:20:00,18.0,Весна,Весна
105.26,68,16,4,VIP,Юридическое лицо,Электроника,Аксессуары,Новосибирск,Новосибирск,Розничный,2023-05-04 20:39:00,2023-05-05 12:39:00,1.0,Весна,Весна
105.48,54,8,3,VIP,Физическое лицо,Электроника,Компьютеры,Новосибирск,Москва,Розничный,2023-08-22 18:18:00,2023-08-23 02:18:00,6.6000000000000005,Лето,Лето
105.87,73,71,2,B2C,Физическое лицо,Электроника,Компьютеры,Сочи,Калининград,Розничный,2023-04-10 20:09:00,2023-04-13 19:09:00,4.4,Весна,Весна
105.9,157,34,7,B2C,Физическое лицо,Электроника,Мобильные устройства,Казань,Новосибирск,Оптовый,2023-09-11 05:58:00,2023-09-12 15:58:00,1.1900000000000002,Осень,Осень
105.98,53,58,4,B2C,Физическое лицо,Одежда,Женская,Казань,Сочи,Розничный,2023-03-02 20:13:00,2023-03-05 06:13:00,2.4,Весна,Весна
105.98,187,26,7,B2C,Юридическое лицо,Электроника,Аксессуары,Москва,Сочи,Розничный,2023-12-10 11:32:00,2023-12-11 13:32:00,0.21,Зима,Зима
1050.38,868,52,3,VIP,Физическое лицо,Одежда,Мужская,Казань,Краснодар,Розничный,2023-07-27 15:50:00,2023-07-29 19:50:00,2.1,Лето,Лето
1051.04,994,16,2,B2B,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Новосибирск,Розничный,2023-07-09 06:12:00,2023-07-09 22:12:00,0.5,Лето,Лето
1051.22,627,24,2,B2C,Физическое лицо,Электроника,Компьютеры,Москва,Казань,Розничный,2023-10-15 12:52:00,2023-10-16 12:52:00,4.4,Осень,Осень
1052.11,538,11,10,B2C,Юридическое лицо,Одежда,Женская,Сочи,Нижний Новгород,Розничный,2023-12-22 14:04:00,2023-12-23 01:04:00,3.3000000000000003,Зима,Зима
1052.38,785,72,8,B2B,Физическое лицо,Одежда,Женская,Казань,Краснодар,Розничный,2023-03-13 01:43:00,2023-03-16 01:43:00,2.64,Весна,Весна
1052.84,578,45,4,B2C,Физическое лицо,Электроника,Компьютеры,Казань,Владивосток,Розничный,2023-06-18 20:50:00,2023-06-20 17:50:00,40.0,Лето,Лето
1054.07,626,66,9,B2C,Физическое лицо,Спорттовары,Тренажеры,Казань,Владивосток,Оптовый,2023-12-26 12:38:00,2023-12-29 06:38:00,236.7,Зима,Зима
1054.23,733,60,4,B2B,Физическое лицо,Одежда,Унисекс,Сочи,Калининград,Розничный,2023-11-06 15:33:00,2023-11-09 03:33:00,0.72,Осень,Осень
1054.24,615,66,2,B2C,Физическое лицо,Электроника,Аксессуары,Казань,Сочи,Розничный,2023-03-29 06:04:00,2023-04-01 00:04:00,0.5,Весна,Весна
1054.3,590,48,3,B2C,Физическое лицо,Одежда,Мужская,Москва,Казань,Розничный,2023-05-15 07:20:00,2023-05-17 07:20:00,1.5,Весна,Весна
1054.55,955,58,6,B2C,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Казань,Розничный,2023-05-05 08:23:00,2023-05-07 18:23:00,105.0,Весна,Весна
1055.73,697,68,10,B2C,Физическое лицо,Электроника,Аксессуары,Казань,Москва,Оптовый,2023-11-09 22:14:00,2023-11-12 18:14:00,0.13,Осень,Осень
1055.86,660,38,5,B2B,Физическое лицо,Электроника,Аксессуары,Нижний Новгород,Санкт-Петербург,Розничный,2023-12-27 14:26:00,2023-12-29 04:26:00,1.25,Зима,Зима
