,cost,distance,delivery_time_hours,quantity,transport_mode,segment,customer_type,category,sub_category,city_x,city_y,store_type,departure_date,arrival_date,total_mass_kg,departure_season,arrival_season
4665,170.22,309,29,5,Грузовик,B2C,Физическое лицо,Электроника,Компьютеры,Казань,Калининград,Оптовый,2023-01-01 16:31:00,2023-01-02 21:31:00,50.0,Зима,Зима
11806,541.67,479,7,5,Авиа,B2C,Физическое лицо,Электроника,Мобильные устройства,Казань,Москва,Оптовый,2023-01-01 16:41:00,2023-01-01 23:41:00,0.8500000000000001,Зима,Зима
9454,410.09,503,6,3,ЖД,VIP,Юридическое лицо,Бытовая техника,Малая техника,Новосибирск,Калининград,Розничный,2023-01-01 17:06:00,2023-01-01 23:06:00,10.5,Зима,Зима
13132,621.88,529,62,1,Авиа,B2C,Физическое лицо,Бытовая техника,Крупная техника,Казань,Новосибирск,Розничный,2023-01-01 17:38:00,2023-01-04 07:38:00,70.0,Зима,Зима
3210,1408.92,982,60,1,Морской,B2C,Физическое лицо,Бытовая техника,Крупная техника,Москва,Сочи,Розничный,2023-01-01 18:10:00,2023-01-04 06:10:00,60.0,Зима,Зима
16686,883.21,861,50,9,Морской,B2B,Физическое лицо,Одежда,Мужская,Казань,Санкт-Петербург,Оптовый,2023-01-01 18:14:00,2023-01-03 20:14:00,2.7,Зима,Зима
5970,221.76,214,13,2,Морской,B2C,Юридическое лицо,Бытовая техника,Крупная техника,Санкт-Петербург,Калининград,Розничный,2023-01-01 18:30:00,2023-01-02 07:30:00,120.0,Зима,Зима
5154,1844.95,964,58,2,Морской,B2B,Юридическое лицо,Бытовая техника,Малая техника,Москва,Москва,Розничный,2023-01-01 19:33:00,2023-01-04 05:33:00,7.0,Зима,Зима
16007,827.92,781,61,4,Грузовик,B2C,Физическое лицо,Одежда,Мужская,Москва,Москва,Розничный,2023-01-01 19:39:00,2023-01-04 08:39:00,2.8,Зима,Зима
5910,219.41,220,33,5,ЖД,B2C,Физическое лицо,Одежда,Женская,Москва,Сочи,Розничный,2023-01-01 21:47:00,2023-01-03 06:47:00,1.5,Зима,Зима
7358,299.89,233,25,10,ЖД,B2B,Физическое лицо,Электроника,Аксессуары,Новосибирск,Казань,Розничный,2023-01-01 23:15:00,2023-01-03 00:15:00,0.3,Зима,Зима
9656,421.25,528,72,2,ЖД,B2C,Физическое лицо,Одежда,Мужская,Сочи,Москва,Розничный,2023-01-01 23:59:00,2023-01-04 23:59:00,1.4,Зима,Зима
184,1017.03,880,25,7,ЖД,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Новосибирск,Розничный,2023-01-02 00:43:00,2023-01-03 01:43:00,122.5,Зима,Зима
6805,268.19,136,14,1,ЖД,B2C,Физическое лицо,Спорттовары,Тренажеры,Казань,Новосибирск,Оптовый,2023-01-02 01:08:00,2023-01-02 15:08:00,26.3,Зима,Зима
13415,64.9,121,22,6,ЖД,B2C,Физическое лицо,Одежда,Мужская,Новосибирск,Екатеринбург,Розничный,2023-01-02 01:16:00,2023-01-02 23:16:00,3.0,Зима,Зима
9551,415.66,229,66,7,Грузовик,VIP,Физическое лицо,Одежда,Женская,Казань,Краснодар,Розничный,2023-01-02 01:32:00,2023-01-04 19:32:00,2.1,Зима,Зима
17203,929.75,476,3,4,ЖД,B2C,Юридическое лицо,Электроника,Мобильные устройства,Новосибирск,Новосибирск,Розничный,2023-01-02 02:00:00,2023-01-02 05:00:00,0.68,Зима,Зима
14180,694.06,516,67,3,Авиа,B2C,Физическое лицо,Электроника,Мобильные устройства,Казань,Санкт-Петербург,Розничный,2023-01-02 02:07:00,2023-01-04 21:07:00,0.51,Зима,Зима
11867,546.02,364,5,9,Морской,B2C,Физическое лицо,Одежда,Мужская,Санкт-Петербург,Нижний Новгород,Розничный,2023-01-02 03:39:00,2023-01-02 08:39:00,2.7,Зима,Зима
1587,1179.52,930,7,2,Авиа,B2C,Физическое лицо,Бытовая техника,Крупная техника,Сочи,Владивосток,Розничный,2023-01-02 04:06:00,2023-01-02 11:06:00,140.0,Зима,Зима
15176,765.65,553,44,1,Авиа,B2C,Физическое лицо,Бытовая техника,Крупная техника,Казань,Новосибирск,Оптовый,2023-01-02 04:18:00,2023-01-04 00:18:00,70.0,Зима,Зима
8958,385.41,640,22,5,Авиа,B2C,Физическое лицо,Электроника,Аксессуары,Москва,Екатеринбург,Розничный,2023-01-02 05:39:00,2023-01-03 03:39:00,0.065,Зима,Зима
1356,1148.59,804,3,4,ЖД,B2C,Физическое лицо,Одежда,Мужская,Нижний Новгород,Нижний Новгород,Розничный,2023-01-02 05:46:00,2023-01-02 08:46:00,2.8,Зима,Зима
9594,418.01,759,37,3,Морской,B2C,Юридическое лицо,Бытовая техника,Малая техника,Казань,Новосибирск,Розничный,2023-01-02 06:36:00,2023-01-03 19:36:00,10.5,Зима,Зима
2213,1263.42,893,43,4,ЖД,B2B,Физическое лицо,Одежда,Женская,Казань,Сочи,Розничный,2023-01-02 07:28:00,2023-01-04 02:28:00,2.4,Зима,Зима
6762,265.72,418,23,3,Грузовик,B2B,Физическое лицо,Электроника,Компьютеры,Москва,Владивосток,Розничный,2023-01-02 08:58:00,2023-01-03 07:58:00,15.0,Зима,Зима
2906,136.96,270,55,1,Грузовик,B2C,Физическое лицо,Одежда,Мужская,Сочи,Санкт-Петербург,Розничный,2023-01-02 09:09:00,2023-01-04 16:09:00,0.5,Зима,Зима
7436,302.57,561,22,3,Авиа,B2B,Физическое лицо,Бытовая техника,Малая техника,Москва,Нижний Новгород,Розничный,2023-01-02 09:18:00,2023-01-03 07:18:00,9.15,Зима,Зима
10026,442.73,396,7,5,Авиа,B2C,Физическое лицо,Одежда,Женская,Санкт-Петербург,Казань,Розничный,2023-01-02 09:51:00,2023-01-02 16:51:00,3.0,Зима,Зима
14904,745.58,808,15,4,Морской,B2C,Физическое лицо,Спорттовары,Тренажеры,Казань,Нижний Новгород,Розничный,2023-01-02 10:07:00,2023-01-03 01:07:00,105.2,Зима,Зима
1826,121.61,116,45,3,Авиа,B2C,Физическое лицо,Электроника,Аксессуары,Новосибирск,Санкт-Петербург,Розничный,2023-01-02 10:40:00,2023-01-04 07:40:00,0.75,Зима,Зима
8680,370.17,228,30,1,Морской,B2C,Юридическое лицо,Электроника,Компьютеры,Казань,Владивосток,Оптовый,2023-01-02 12:44:00,2023-01-03 18:44:00,2.2,Зима,Зима
2279,1271.75,955,2,3,Морской,B2C,Физическое лицо,Одежда,Унисекс,Сочи,Казань,Розничный,2023-01-02 13:27:00,2023-01-02 15:27:00,1.2000000000000002,Зима,Зима
825,1087.59,893,67,4,Грузовик,B2C,Физическое лицо,Одежда,Женская,Казань,Санкт-Петербург,Оптовый,2023-01-02 13:36:00,2023-01-05 08:36:00,1.2,Зима,Зима
8965,385.74,481,45,6,Морской,B2B,Физическое лицо,Электроника,Компьютеры,Казань,Санкт-Петербург,Розничный,2023-01-02 14:12:00,2023-01-04 11:12:00,13.2,Зима,Зима
11176,507.11,692,46,8,Морской,B2B,Физическое лицо,Электроника,Мобильные устройства,Сочи,Сочи,Розничный,2023-01-02 14:31:00,2023-01-04 12:31:00,1.36,Зима,Зима
4669,170.46,119,61,2,Грузовик,B2C,Физическое лицо,Одежда,Женская,Казань,Екатеринбург,Розничный,2023-01-02 14:33:00,2023-01-05 03:33:00,0.66,Зима,Зима
7039,280.94,418,40,10,Грузовик,B2B,Физическое лицо,Бытовая техника,Малая техника,Казань,Нижний Новгород,Розничный,2023-01-02 15:18:00,2023-01-04 07:18:00,35.0,Зима,Зима
12610,592.31,337,24,5,Грузовик,B2C,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Екатеринбург,Розничный,2023-01-02 15:52:00,2023-01-03 15:52:00,1.25,Зима,Зима
12498,585.51,331,48,6,ЖД,B2C,Физическое лицо,Одежда,Унисекс,Новосибирск,Екатеринбург,Розничный,2023-01-02 16:10:00,2023-01-04 16:10:00,2.4000000000000004,Зима,Зима
460,1046.5,615,48,8,Авиа,B2C,Физическое лицо,Электроника,Мобильные устройства,Новосибирск,Нижний Новгород,Розничный,2023-01-02 17:02:00,2023-01-04 17:02:00,1.36,Зима,Зима
760,108.03,88,11,6,Морской,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Казань,Розничный,2023-01-02 17:58:00,2023-01-03 04:58:00,105.0,Зима,Зима
5110,183.23,218,72,6,ЖД,B2B,Физическое лицо,Одежда,Мужская,Казань,Новосибирск,Оптовый,2023-01-02 18:31:00,2023-01-05 18:31:00,3.0,Зима,Зима
11739,538.59,896,64,8,Грузовик,B2B,Юридическое лицо,Бытовая техника,Малая техника,Сочи,Владивосток,Розничный,2023-01-02 18:51:00,2023-01-05 10:51:00,72.0,Зима,Зима
9162,395.91,368,30,8,Грузовик,VIP,Юридическое лицо,Одежда,Женская,Санкт-Петербург,Владивосток,Розничный,2023-01-02 18:56:00,2023-01-04 00:56:00,2.4,Зима,Зима
3301,1426.0,809,65,3,Морской,B2B,Физическое лицо,Электроника,Компьютеры,Москва,Сочи,Розничный,2023-01-02 19:33:00,2023-01-05 12:33:00,30.0,Зима,Зима
652,1068.43,836,57,3,ЖД,B2C,Физическое лицо,Бытовая техника,Малая техника,Новосибирск,Москва,Розничный,2023-01-02 19:57:00,2023-01-05 04:57:00,2.94,Зима,Зима
16688,883.36,657,42,4,Морской,B2B,Физическое лицо,Бытовая техника,Малая техника,Москва,Владивосток,Розничный,2023-01-02 20:14:00,2023-01-04 14:14:00,12.2,Зима,Зима
8018,336.14,563,52,3,Морской,B2B,Физическое лицо,Одежда,Женская,Москва,Калининград,Розничный,2023-01-02 20:25:00,2023-01-05 00:25:00,0.8999999999999999,Зима,Зима
12997,614.22,543,18,3,Грузовик,B2C,Физическое лицо,Электроника,Мобильные устройства,Сочи,Владивосток,Розничный,2023-01-02 21:11:00,2023-01-03 15:11:00,0.51,Зима,Зима
7605,313.52,189,21,7,ЖД,B2C,Юридическое лицо,Одежда,Женская,Казань,Нижний Новгород,Оптовый,2023-01-02 21:18:00,2023-01-03 18:18:00,2.31,Зима,Зима
524,1053.27,748,68,10,Грузовик,B2B,Юридическое лицо,Одежда,Унисекс,Москва,Нижний Новгород,Розничный,2023-01-02 21:33:00,2023-01-05 17:33:00,6.0,Зима,Зима
11325,514.43,444,13,5,Морской,B2B,Юридическое лицо,Одежда,Мужская,Москва,Сочи,Розничный,2023-01-02 22:26:00,2023-01-03 11:26:00,3.5,Зима,Зима
2971,137.93,116,70,8,Морской,B2C,Физическое лицо,Бытовая техника,Малая техника,Москва,Калининград,Розничный,2023-01-02 22:29:00,2023-01-05 20:29:00,72.0,Зима,Зима
14116,689.69,827,70,8,Грузовик,B2C,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Нижний Новгород,Розничный,2023-01-02 23:06:00,2023-01-05 21:06:00,2.0,Зима,Зима
2749,1337.39,812,63,3,Авиа,B2C,Физическое лицо,Одежда,Женская,Москва,Сочи,Розничный,2023-01-02 23:09:00,2023-01-05 14:09:00,1.7999999999999998,Зима,Зима
14902,745.54,750,51,1,Морской,B2C,Физическое лицо,Одежда,Унисекс,Сочи,Владивосток,Розничный,2023-01-02 23:26:00,2023-01-05 02:26:00,0.18,Зима,Зима
6781,266.54,150,15,2,Авиа,B2C,Физическое лицо,Электроника,Компьютеры,Сочи,Владивосток,Розничный,2023-01-02 23:41:00,2023-01-03 14:41:00,20.0,Зима,Зима
9228,4.58,6,62,7,Авиа,B2C,Физическое лицо,Одежда,Мужская,Казань,Санкт-Петербург,Оптовый,2023-01-03 01:15:00,2023-01-05 15:15:00,2.1,Зима,Зима
8879,380.58,256,60,8,ЖД,B2C,Физическое лицо,Электроника,Компьютеры,Нижний Новгород,Калининград,Розничный,2023-01-03 03:28:00,2023-01-05 15:28:00,17.6,Зима,Зима
11900,548.41,711,52,7,Грузовик,B2B,Физическое лицо,Одежда,Женская,Казань,Новосибирск,Оптовый,2023-01-03 03:33:00,2023-01-05 07:33:00,2.31,Зима,Зима
14319,701.9,448,45,10,ЖД,B2C,Юридическое лицо,Электроника,Компьютеры,Казань,Владивосток,Розничный,2023-01-03 03:48:00,2023-01-05 00:48:00,100.0,Зима,Зима
4456,1647.86,898,45,4,Грузовик,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Новосибирск,Розничный,2023-01-03 03:57:00,2023-01-05 00:57:00,14.0,Зима,Зима
15780,81.05,47,67,5,Морской,B2C,Юридическое лицо,Одежда,Унисекс,Москва,Казань,Розничный,2023-01-03 04:36:00,2023-01-05 23:36:00,2.0,Зима,Зима
6428,247.89,318,20,1,Грузовик,B2C,Физическое лицо,Одежда,Мужская,Москва,Владивосток,Розничный,2023-01-03 05:00:00,2023-01-04 01:00:00,0.7,Зима,Зима
15787,81.49,73,9,7,Грузовик,B2C,Физическое лицо,Одежда,Женская,Новосибирск,Владивосток,Розничный,2023-01-03 05:16:00,2023-01-03 14:16:00,2.31,Зима,Зима
453,1045.65,613,17,7,Грузовик,B2C,Юридическое лицо,Одежда,Женская,Казань,Казань,Розничный,2023-01-03 05:17:00,2023-01-03 22:17:00,2.1,Зима,Зима
4758,173.04,206,22,6,Авиа,B2C,Физическое лицо,Электроника,Компьютеры,Нижний Новгород,Калининград,Розничный,2023-01-03 05:30:00,2023-01-04 03:30:00,13.2,Зима,Зима
8781,375.38,692,18,3,Грузовик,B2C,Юридическое лицо,Бытовая техника,Малая техника,Нижний Новгород,Краснодар,Розничный,2023-01-03 05:37:00,2023-01-03 23:37:00,52.5,Зима,Зима
14941,748.67,959,49,9,Морской,B2C,Физическое лицо,Электроника,Мобильные устройства,Казань,Краснодар,Оптовый,2023-01-03 06:17:00,2023-01-05 07:17:00,4.5,Зима,Зима
10089,447.06,878,57,5,Грузовик,B2C,Физическое лицо,Электроника,Мобильные устройства,Новосибирск,Санкт-Петербург,Розничный,2023-01-03 06:18:00,2023-01-05 15:18:00,0.8500000000000001,Зима,Зима
5356,191.61,325,72,7,Авиа,B2C,Физическое лицо,Одежда,Унисекс,Казань,Сочи,Розничный,2023-01-03 09:22:00,2023-01-06 09:22:00,2.8000000000000003,Зима,Зима
6911,273.18,147,25,3,ЖД,B2B,Физическое лицо,Одежда,Унисекс,Санкт-Петербург,Сочи,Розничный,2023-01-03 10:00:00,2023-01-04 11:00:00,1.2000000000000002,Зима,Зима
5825,214.78,124,14,8,Морской,B2C,Юридическое лицо,Электроника,Компьютеры,Санкт-Петербург,Краснодар,Розничный,2023-01-03 10:10:00,2023-01-04 00:10:00,17.6,Зима,Зима
5246,188.21,194,68,10,Авиа,B2C,Физическое лицо,Электроника,Аксессуары,Новосибирск,Сочи,Розничный,2023-01-03 10:16:00,2023-01-06 06:16:00,2.5,Зима,Зима
11737,538.38,615,71,3,ЖД,B2C,Юридическое лицо,Одежда,Унисекс,Новосибирск,Казань,Розничный,2023-01-03 10:31:00,2023-01-06 09:31:00,1.7999999999999998,Зима,Зима
6173,232.6,178,58,7,ЖД,B2C,Физическое лицо,Одежда,Унисекс,Казань,Краснодар,Розничный,2023-01-03 10:33:00,2023-01-05 20:33:00,2.8000000000000003,Зима,Зима
13922,675.71,945,50,3,Авиа,B2C,Физическое лицо,Спорттовары,Тренажеры,Новосибирск,Нижний Новгород,Розничный,2023-01-03 11:26:00,2023-01-05 13:26:00,78.9,Зима,Зима
604,1062.15,970,47,9,Грузовик,B2C,Физическое лицо,Электроника,Мобильные устройства,Казань,Новосибирск,Розничный,2023-01-03 12:39:00,2023-01-05 11:39:00,4.5,Зима,Зима
12981,613.21,594,4,10,Грузовик,VIP,Физическое лицо,Электроника,Компьютеры,Сочи,Санкт-Петербург,Розничный,2023-01-03 13:13:00,2023-01-03 17:13:00,22.0,Зима,Зима
6459,249.73,252,2,7,ЖД,B2C,Физическое лицо,Одежда,Женская,Казань,Санкт-Петербург,Розничный,2023-01-03 13:48:00,2023-01-03 15:48:00,2.1,Зима,Зима
15971,825.25,850,58,8,Авиа,B2C,Физическое лицо,Одежда,Мужская,Москва,Нижний Новгород,Розничный,2023-01-03 13:58:00,2023-01-05 23:58:00,4.0,Зима,Зима
10657,478.45,388,22,8,Морской,B2C,Юридическое лицо,Электроника,Аксессуары,Казань,Калининград,Оптовый,2023-01-03 14:32:00,2023-01-04 12:32:00,0.104,Зима,Зима
9004,388.0,609,1,7,ЖД,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Нижний Новгород,Розничный,2023-01-03 15:24:00,2023-01-03 16:24:00,6.859999999999999,Зима,Зима
2826,1348.96,834,51,8,Авиа,B2C,Физическое лицо,Электроника,Аксессуары,Москва,Краснодар,Розничный,2023-01-03 15:26:00,2023-01-05 18:26:00,0.24,Зима,Зима
11107,502.6,556,5,8,Морской,B2B,Физическое лицо,Электроника,Аксессуары,Новосибирск,Екатеринбург,Розничный,2023-01-03 15:58:00,2023-01-03 20:58:00,2.0,Зима,Зима
8657,37.14,45,26,3,Грузовик,B2C,Юридическое лицо,Электроника,Аксессуары,Москва,Санкт-Петербург,Розничный,2023-01-03 16:07:00,2023-01-04 18:07:00,0.09,Зима,Зима
8784,375.46,512,59,9,Авиа,B2C,Физическое лицо,Электроника,Аксессуары,Казань,Нижний Новгород,Оптовый,2023-01-03 16:15:00,2023-01-06 03:15:00,0.27,Зима,Зима
2264,127.85,122,37,2,Авиа,B2C,Физическое лицо,Электроника,Мобильные устройства,Нижний Новгород,Сочи,Розничный,2023-01-03 16:18:00,2023-01-05 05:18:00,0.34,Зима,Зима
3352,1437.53,992,15,6,ЖД,B2B,Физическое лицо,Электроника,Мобильные устройства,Казань,Владивосток,Розничный,2023-01-03 16:37:00,2023-01-04 07:37:00,1.02,Зима,Зима
6324,241.34,473,12,7,Морской,B2C,Юридическое лицо,Электроника,Мобильные устройства,Новосибирск,Казань,Розничный,2023-01-03 17:22:00,2023-01-04 05:22:00,1.1900000000000002,Зима,Зима
3662,1490.9,872,7,8,Авиа,B2C,Юридическое лицо,Одежда,Женская,Санкт-Петербург,Москва,Розничный,2023-01-03 18:23:00,2023-01-04 01:23:00,2.4,Зима,Зима
9780,428.78,376,39,4,Грузовик,B2C,Физическое лицо,Одежда,Женская,Сочи,Калининград,Розничный,2023-01-03 19:47:00,2023-01-05 10:47:00,2.4,Зима,Зима
16209,843.47,848,15,2,Грузовик,VIP,Физическое лицо,Одежда,Женская,Сочи,Владивосток,Розничный,2023-01-03 19:53:00,2023-01-04 10:53:00,1.2,Зима,Зима
2642,132.72,80,9,1,ЖД,B2C,Юридическое лицо,Бытовая техника,Крупная техника,Новосибирск,Калининград,Розничный,2023-01-03 21:28:00,2023-01-04 06:28:00,70.0,Зима,Зима
9429,409.77,795,20,10,Авиа,B2C,Физическое лицо,Электроника,Аксессуары,Казань,Краснодар,Оптовый,2023-01-03 21:57:00,2023-01-04 17:57:00,0.3,Зима,Зима
16460,865.21,433,55,1,Морской,B2C,Физическое лицо,Спорттовары,Тренажеры,Санкт-Петербург,Москва,Розничный,2023-01-03 23:36:00,2023-01-06 06:36:00,26.3,Зима,Зима
6542,253.66,306,36,6,Грузовик,B2C,Физическое лицо,Одежда,Унисекс,Казань,Санкт-Петербург,Розничный,2023-01-03 23:52:00,2023-01-05 11:52:00,2.4000000000000004,Зима,Зима
2746,1336.21,787,45,3,Морской,B2C,Физическое лицо,Электроника,Аксессуары,Москва,Владивосток,Розничный,2023-01-04 00:04:00,2023-01-05 21:04:00,0.09,Зима,Зима
6414,247.15,400,39,3,Морской,B2B,Физическое лицо,Электроника,Мобильные устройства,Москва,Санкт-Петербург,Розничный,2023-01-04 00:14:00,2023-01-05 15:14:00,1.5,Зима,Зима
7049,281.48,520,52,1,ЖД,B2B,Физическое лицо,Бытовая техника,Крупная техника,Нижний Новгород,Санкт-Петербург,Розничный,2023-01-04 00:25:00,2023-01-06 04:25:00,60.0,Зима,Зима
10766,485.41,370,13,1,Авиа,B2B,Физическое лицо,Электроника,Аксессуары,Казань,Новосибирск,Розничный,2023-01-04 00:25:00,2023-01-04 13:25:00,0.25,Зима,Зима
2828,1349.07,773,4,3,Морской,VIP,Физическое лицо,Одежда,Мужская,Новосибирск,Владивосток,Розничный,2023-01-04 00:28:00,2023-01-04 04:28:00,1.5,Зима,Зима
2723,1331.2,669,47,2,Морской,B2B,Физическое лицо,Бытовая техника,Малая техника,Казань,Екатеринбург,Оптовый,2023-01-04 00:47:00,2023-01-05 23:47:00,7.0,Зима,Зима
3570,1475.01,751,23,9,ЖД,B2B,Юридическое лицо,Бытовая техника,Малая техника,Нижний Новгород,Новосибирск,Розничный,2023-01-04 01:04:00,2023-01-05 00:04:00,27.45,Зима,Зима
1543,1171.02,824,69,10,ЖД,B2C,Физическое лицо,Одежда,Унисекс,Нижний Новгород,Сочи,Розничный,2023-01-04 02:46:00,2023-01-06 23:46:00,4.0,Зима,Зима
8648,369.87,276,56,2,Морской,B2C,Физическое лицо,Электроника,Мобильные устройства,Казань,Сочи,Розничный,2023-01-04 02:56:00,2023-01-06 10:56:00,1.0,Зима,Зима
14958,75.07,67,1,6,Морской,VIP,Физическое лицо,Одежда,Женская,Новосибирск,Владивосток,Розничный,2023-01-04 03:19:00,2023-01-04 04:19:00,1.98,Зима,Зима
17726,976.56,698,40,2,Авиа,B2B,Физическое лицо,Бытовая техника,Крупная техника,Казань,Москва,Оптовый,2023-01-04 03:38:00,2023-01-05 19:38:00,140.0,Зима,Зима
1714,1197.62,980,64,9,Авиа,VIP,Физическое лицо,Электроника,Компьютеры,Нижний Новгород,Нижний Новгород,Розничный,2023-01-04 04:13:00,2023-01-06 20:13:00,45.0,Зима,Зима
3669,1492.91,845,15,8,ЖД,B2B,Физическое лицо,Электроника,Аксессуары,Казань,Краснодар,Розничный,2023-01-04 04:39:00,2023-01-04 19:39:00,0.104,Зима,Зима
13952,677.95,604,55,1,Грузовик,B2C,Физическое лицо,Одежда,Мужская,Новосибирск,Новосибирск,Розничный,2023-01-04 08:09:00,2023-01-06 15:09:00,0.7,Зима,Зима
10162,451.54,882,61,1,Грузовик,B2C,Физическое лицо,Одежда,Женская,Москва,Екатеринбург,Розничный,2023-01-04 08:23:00,2023-01-06 21:23:00,0.3,Зима,Зима
6647,259.32,352,7,5,Морской,B2B,Юридическое лицо,Спорттовары,Тренажеры,Казань,Санкт-Петербург,Оптовый,2023-01-04 08:31:00,2023-01-04 15:31:00,131.5,Зима,Зима
936,11.44,11,10,3,Авиа,B2C,Физическое лицо,Бытовая техника,Малая техника,Сочи,Сочи,Розничный,2023-01-04 09:03:00,2023-01-04 19:03:00,52.5,Зима,Зима
5336,190.92,166,52,6,Грузовик,B2C,Юридическое лицо,Бытовая техника,Малая техника,Москва,Краснодар,Розничный,2023-01-04 09:50:00,2023-01-06 13:50:00,21.0,Зима,Зима
12154,563.83,781,49,7,Морской,VIP,Физическое лицо,Электроника,Аксессуары,Сочи,Санкт-Петербург,Розничный,2023-01-04 09:58:00,2023-01-06 10:58:00,0.091,Зима,Зима
15225,769.33,772,65,10,Авиа,VIP,Юридическое лицо,Электроника,Компьютеры,Казань,Краснодар,Розничный,2023-01-04 10:46:00,2023-01-07 03:46:00,50.0,Зима,Зима
7163,288.35,223,52,3,Грузовик,VIP,Юридическое лицо,Бытовая техника,Малая техника,Казань,Краснодар,Розничный,2023-01-04 11:25:00,2023-01-06 15:25:00,10.5,Зима,Зима
