cost,distance,delivery_time_hours,quantity,transport_mode,segment,customer_type,category,sub_category,city_x,city_y,store_type,departure_date,arrival_date,total_mass_kg,departure_season,arrival_season
101.26,126,61,1,Грузовик,B2C,Физическое лицо,Одежда,Мужская,Санкт-Петербург,Краснодар,Розничный,2023-05-08 14:59:00,2023-05-11 03:59:00,0.3,Весна,Весна
1014.29,889,39,7,Морской,B2C,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Владивосток,Розничный,2023-08-18 03:37:00,2023-08-19 18:37:00,1.75,Лето,Лето
1014.47,546,5,8,ЖД,B2B,Физическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Нижний Новгород,Розничный,2023-12-03 21:41:00,2023-12-04 02:41:00,4.0,Зима,Зима
1015.22,537,34,1,Авиа,B2C,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Екатеринбург,Розничный,2023-08-02 06:55:00,2023-08-03 16:55:00,0.98,Лето,Лето
1015.94,668,48,7,Авиа,B2C,Физическое лицо,Спорттовары,Тренажеры,Санкт-Петербург,Нижний Новгород,Розничный,2023-05-23 18:54:00,2023-05-25 18:54:00,184.1,Весна,Весна
1016.09,550,9,6,Морской,B2B,Физическое лицо,Одежда,Женская,Санкт-Петербург,Калининград,Розничный,2023-03-16 05:19:00,2023-03-16 14:19:00,1.7999999999999998,Весна,Весна
1016.5,614,8,6,ЖД,B2C,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Калининград,Розничный,2023-08-23 17:01:00,2023-08-24 01:01:00,21.0,Лето,Лето
1016.65,816,56,7,Морской,B2C,Физическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Казань,Розничный,2023-01-31 17:53:00,2023-02-03 01:53:00,3.5,Зима,Зима
1016.98,691,14,3,Грузовик,B2C,Физическое лицо,Одежда,Унисекс,Санкт-Петербург,Краснодар,Розничный,2023-04-20 12:27:00,2023-04-21 02:27:00,1.7999999999999998,Весна,Весна
1017.05,642,70,1,Авиа,B2C,Физическое лицо,Одежда,Мужская,Санкт-Петербург,Калининград,Розничный,2023-12-05 22:42:00,2023-12-08 20:42:00,0.5,Зима,Зима
1017.55,799,69,1,Грузовик,B2B,Физическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Екатеринбург,Розничный,2023-09-28 19:20:00,2023-10-01 16:20:00,0.17,Осень,Осень
102.42,125,53,3,ЖД,B2C,Физическое лицо,Одежда,Унисекс,Санкт-Петербург,Владивосток,Розничный,2023-02-09 21:33:00,2023-02-12 02:33:00,0.54,Зима,Зима
102.47,132,29,3,ЖД,B2C,Физическое лицо,Одежда,Женская,Санкт-Петербург,Калининград,Розничный,2023-02-21 22:13:00,2023-02-23 03:13:00,0.99,Зима,Зима
102.63,166,52,1,ЖД,B2B,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Краснодар,Розничный,2023-03-07 10:27:00,2023-03-09 14:27:00,0.25,Весна,Весна
1020.77,942,27,7,Морской,B2B,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Новосибирск,Розничный,2023-05-21 05:42:00,2023-05-22 08:42:00,21.35,Весна,Весна
1020.8,764,39,4,ЖД,B2B,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Сочи,Розничный,2023-10-19 14:40:00,2023-10-21 05:40:00,0.12,Осень,Осень
1022.42,647,33,9,Авиа,B2C,Физическое лицо,Одежда,Женская,Санкт-Петербург,Казань,Розничный,2023-11-23 23:40:00,2023-11-25 08:40:00,2.97,Осень,Осень
1022.54,688,69,1,Морской,VIP,Физическое лицо,Электроника,Компьютеры,Санкт-Петербург,Казань,Розничный,2023-04-12 07:18:00,2023-04-15 04:18:00,10.0,Весна,Весна
1026.0,779,27,2,Авиа,B2C,Физическое лицо,Одежда,Женская,Санкт-Петербург,Новосибирск,Розничный,2023-03-07 11:43:00,2023-03-08 14:43:00,0.66,Весна,Весна
1026.08,530,39,9,Морской,B2C,Физическое лицо,Спорттовары,Тренажеры,Санкт-Петербург,Нижний Новгород,Розничный,2023-12-14 14:02:00,2023-12-16 05:02:00,657.0,Зима,Зима
1026.83,936,61,10,Грузовик,B2C,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Краснодар,Розничный,2023-01-07 18:53:00,2023-01-10 07:53:00,35.0,Зима,Зима
1028.32,751,27,9,ЖД,B2B,Юридическое лицо,Электроника,Аксессуары,Санкт-Петербург,Казань,Розничный,2024-01-01 16:50:00,2024-01-02 19:50:00,0.1169999999999999,Зима,Зима
1029.27,783,16,7,Грузовик,B2C,Физическое лицо,Одежда,Унисекс,Санкт-Петербург,Екатеринбург,Розничный,2023-04-04 09:00:00,2023-04-05 01:00:00,1.26,Весна,Весна
103.17,149,9,1,Грузовик,B2C,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Новосибирск,Розничный,2023-02-08 01:55:00,2023-02-08 10:55:00,0.03,Зима,Зима
103.2,114,64,7,Морской,B2C,Физическое лицо,Спорттовары,Тренажеры,Санкт-Петербург,Екатеринбург,Розничный,2023-12-08 16:33:00,2023-12-11 08:33:00,511.0,Зима,Зима
1031.53,657,4,8,Грузовик,B2C,Физическое лицо,Электроника,Компьютеры,Санкт-Петербург,Нижний Новгород,Розничный,2023-07-23 10:03:00,2023-07-23 14:03:00,80.0,Лето,Лето
1033.58,571,53,6,ЖД,B2C,Физическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Новосибирск,Розничный,2023-08-29 22:24:00,2023-09-01 03:24:00,1.02,Лето,Осень
1034.74,839,12,9,Грузовик,B2C,Физическое лицо,Электроника,Компьютеры,Санкт-Петербург,Сочи,Розничный,2023-09-02 00:23:00,2023-09-02 12:23:00,19.8,Осень,Осень
1034.81,589,29,8,Морской,VIP,Юридическое лицо,Бытовая техника,Крупная техника,Санкт-Петербург,Казань,Розничный,2023-08-09 22:42:00,2023-08-11 03:42:00,480.0,Лето,Лето
1035.09,548,65,1,ЖД,B2C,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Сочи,Розничный,2023-08-06 04:45:00,2023-08-08 21:45:00,0.25,Лето,Лето
1035.58,677,3,6,Морской,B2B,Юридическое лицо,Спорттовары,Тренажеры,Санкт-Петербург,Калининград,Розничный,2023-07-15 05:54:00,2023-07-15 08:54:00,157.8,Лето,Лето
1035.61,789,36,3,ЖД,B2C,Физическое лицо,Спорттовары,Тренажеры,Санкт-Петербург,Новосибирск,Розничный,2023-12-28 01:36:00,2023-12-29 13:36:00,219.0,Зима,Зима
1036.07,890,67,7,Морской,B2B,Юридическое лицо,Одежда,Мужская,Санкт-Петербург,Екатеринбург,Розничный,2023-11-27 07:26:00,2023-11-30 02:26:00,4.9,Осень,Осень
1036.66,947,60,1,Авиа,B2C,Юридическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Краснодар,Розничный,2023-08-25 07:03:00,2023-08-27 19:03:00,9.0,Лето,Лето
104.89,104,64,2,Морской,B2B,Юридическое лицо,Электроника,Аксессуары,Санкт-Петербург,Казань,Розничный,2023-05-13 05:20:00,2023-05-15 21:20:00,0.5,Весна,Весна
1041.98,593,48,3,Грузовик,B2B,Физическое лицо,Электроника,Компьютеры,Санкт-Петербург,Москва,Розничный,2023-05-12 17:25:00,2023-05-14 17:25:00,6.6000000000000005,Весна,Весна
1044.99,676,21,4,ЖД,VIP,Физическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Калининград,Розничный,2023-04-01 15:51:00,2023-04-02 12:51:00,0.68,Весна,Весна
1048.05,899,12,10,Авиа,B2C,Юридическое лицо,Одежда,Унисекс,Санкт-Петербург,Краснодар,Розничный,2023-06-27 00:22:00,2023-06-27 12:22:00,1.7999999999999998,Лето,Лето
1050.45,780,7,5,Грузовик,B2C,Физическое лицо,Одежда,Женская,Санкт-Петербург,Новосибирск,Розничный,2023-03-27 20:57:00,2023-03-28 03:57:00,3.0,Весна,Весна
1051.04,994,16,2,Авиа,B2B,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Новосибирск,Розничный,2023-07-09 06:12:00,2023-07-09 22:12:00,0.5,Лето,Лето
1052.54,951,67,6,Морской,B2C,Физическое лицо,Спорттовары,Тренажеры,Санкт-Петербург,Владивосток,Розничный,2023-06-16 07:33:00,2023-06-19 02:33:00,157.8,Лето,Лето
1054.55,955,58,6,Авиа,B2C,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Казань,Розничный,2023-05-05 08:23:00,2023-05-07 18:23:00,105.0,Весна,Весна
1054.87,616,60,2,Морской,B2C,Физическое лицо,Бытовая техника,Крупная техника,Санкт-Петербург,Казань,Розничный,2023-03-31 01:34:00,2023-04-02 13:34:00,140.0,Весна,Весна
1055.03,588,43,5,ЖД,B2C,Физическое лицо,Одежда,Женская,Санкт-Петербург,Казань,Розничный,2023-02-01 01:26:00,2023-02-02 20:26:00,3.0,Зима,Зима
1056.97,670,42,6,Грузовик,B2C,Физическое лицо,Спорттовары,Тренажеры,Санкт-Петербург,Владивосток,Розничный,2023-03-23 09:58:00,2023-03-25 03:58:00,157.8,Весна,Весна
1058.47,687,45,3,Авиа,B2C,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Екатеринбург,Розничный,2023-12-28 08:49:00,2023-12-30 05:49:00,0.039,Зима,Зима
106.46,114,26,1,Авиа,B2C,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Краснодар,Розничный,2023-05-24 23:31:00,2023-05-26 01:31:00,0.013,Весна,Весна
1060.48,536,22,7,Грузовик,B2B,Физическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Казань,Розничный,2023-05-18 03:50:00,2023-05-19 01:50:00,1.1900000000000002,Весна,Весна
1060.59,701,39,2,Авиа,B2C,Физическое лицо,Одежда,Мужская,Санкт-Петербург,Краснодар,Розничный,2023-09-23 10:41:00,2023-09-25 01:41:00,0.6,Осень,Осень
1061.19,894,36,4,ЖД,B2C,Физическое лицо,Спорттовары,Тренажеры,Санкт-Петербург,Нижний Новгород,Розничный,2023-09-19 04:18:00,2023-09-20 16:18:00,105.2,Осень,Осень
1064.99,599,68,7,ЖД,B2B,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Нижний Новгород,Розничный,2023-04-12 14:29:00,2023-04-15 10:29:00,21.35,Весна,Весна
1067.63,678,27,9,Авиа,B2C,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Владивосток,Розничный,2023-05-28 22:16:00,2023-05-30 01:16:00,2.25,Весна,Весна
107.88,167,3,5,ЖД,B2C,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Сочи,Розничный,2023-12-11 11:00:00,2023-12-11 14:00:00,0.065,Зима,Зима
1071.05,624,9,9,Грузовик,B2C,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Нижний Новгород,Розничный,2023-08-03 11:43:00,2023-08-03 20:43:00,2.25,Лето,Лето
1072.13,641,65,7,Морской,B2B,Физическое лицо,Одежда,Женская,Санкт-Петербург,Владивосток,Розничный,2023-12-19 13:13:00,2023-12-22 06:13:00,4.2,Зима,Зима
1072.46,623,37,3,Морской,B2C,Юридическое лицо,Одежда,Мужская,Санкт-Петербург,Краснодар,Розничный,2023-02-16 00:58:00,2023-02-17 13:58:00,0.8999999999999999,Зима,Зима
1074.1,806,19,8,Грузовик,VIP,Физическое лицо,Одежда,Женская,Санкт-Петербург,Владивосток,Розничный,2023-12-24 08:40:00,2023-12-25 03:40:00,2.4,Зима,Зима
1074.65,779,46,3,Авиа,B2C,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Москва,Розничный,2023-06-26 22:10:00,2023-06-28 20:10:00,0.75,Лето,Лето
1075.4,592,60,7,Морской,B2C,Физическое лицо,Одежда,Женская,Санкт-Петербург,Екатеринбург,Розничный,2023-05-30 11:45:00,2023-06-01 23:45:00,2.1,Весна,Лето
1076.17,844,69,5,Авиа,B2C,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Нижний Новгород,Розничный,2023-06-03 04:10:00,2023-06-06 01:10:00,0.065,Лето,Лето
1076.97,588,21,3,Авиа,B2C,Физическое лицо,Одежда,Мужская,Санкт-Петербург,Новосибирск,Розничный,2023-02-15 22:15:00,2023-02-16 19:15:00,1.5,Зима,Зима
1081.59,965,31,7,Авиа,B2C,Физическое лицо,Одежда,Унисекс,Санкт-Петербург,Москва,Розничный,2023-07-23 05:52:00,2023-07-24 12:52:00,1.26,Лето,Лето
1084.05,564,8,7,Грузовик,B2C,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Владивосток,Розничный,2023-06-15 05:46:00,2023-06-15 13:46:00,122.5,Лето,Лето
1084.26,935,71,9,Авиа,B2C,Физическое лицо,Одежда,Унисекс,Санкт-Петербург,Казань,Розничный,2023-11-09 05:22:00,2023-11-12 04:22:00,1.62,Осень,Осень
1084.44,587,65,1,Авиа,VIP,Физическое лицо,Электроника,Компьютеры,Санкт-Петербург,Нижний Новгород,Розничный,2023-11-21 22:13:00,2023-11-24 15:13:00,10.0,Осень,Осень
1085.04,618,5,1,Авиа,B2B,Юридическое лицо,Электроника,Компьютеры,Санкт-Петербург,Екатеринбург,Розничный,2023-03-04 22:11:00,2023-03-05 03:11:00,2.2,Весна,Весна
1087.68,707,30,6,Авиа,B2C,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Сочи,Розничный,2023-02-15 06:12:00,2023-02-16 12:12:00,54.0,Зима,Зима
1087.87,981,67,9,Авиа,B2C,Физическое лицо,Одежда,Мужская,Санкт-Петербург,Москва,Розничный,2023-01-19 03:00:00,2023-01-21 22:00:00,6.3,Зима,Зима
1089.19,610,65,9,Морской,B2B,Физическое лицо,Электроника,Компьютеры,Санкт-Петербург,Москва,Розничный,2023-05-15 11:12:00,2023-05-18 04:12:00,90.0,Весна,Весна
1089.26,917,59,8,Авиа,B2B,Физическое лицо,Бытовая техника,Крупная техника,Санкт-Петербург,Владивосток,Розничный,2023-10-26 17:18:00,2023-10-29 04:18:00,560.0,Осень,Осень
1089.48,594,37,10,Морской,VIP,Физическое лицо,Бытовая техника,Крупная техника,Санкт-Петербург,Нижний Новгород,Розничный,2023-07-10 22:10:00,2023-07-12 11:10:00,700.0,Лето,Лето
109.48,178,66,4,ЖД,B2B,Физическое лицо,Одежда,Женская,Санкт-Петербург,Екатеринбург,Розничный,2023-04-15 13:44:00,2023-04-18 07:44:00,1.32,Весна,Весна
1092.21,707,69,4,Авиа,B2C,Физическое лицо,Одежда,Унисекс,Санкт-Петербург,Сочи,Розничный,2023-07-16 23:21:00,2023-07-19 20:21:00,0.72,Лето,Лето
1092.42,643,36,3,Морской,B2C,Физическое лицо,Электроника,Компьютеры,Санкт-Петербург,Калининград,Розничный,2023-01-31 00:20:00,2023-02-01 12:20:00,15.0,Зима,Зима
1094.78,571,8,5,ЖД,B2C,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Сочи,Розничный,2023-02-24 16:26:00,2023-02-25 00:26:00,45.0,Зима,Зима
1096.89,655,55,5,ЖД,B2C,Физическое лицо,Спорттовары,Тренажеры,Санкт-Петербург,Новосибирск,Розничный,2023-11-30 11:24:00,2023-12-02 18:24:00,131.5,Осень,Зима
1099.27,672,24,4,Грузовик,VIP,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Владивосток,Розничный,2023-05-25 21:40:00,2023-05-26 21:40:00,70.0,Весна,Весна
110.4,189,15,9,ЖД,B2B,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Краснодар,Розничный,2023-07-16 20:02:00,2023-07-17 11:02:00,2.25,Лето,Лето
1101.24,715,27,5,Авиа,B2C,Юридическое лицо,Электроника,Аксессуары,Санкт-Петербург,Нижний Новгород,Розничный,2023-01-24 05:44:00,2023-01-25 08:44:00,0.065,Зима,Зима
1103.42,820,3,6,Авиа,B2C,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Сочи,Розничный,2023-10-08 11:52:00,2023-10-08 14:52:00,21.0,Осень,Осень
1107.63,756,42,5,Грузовик,B2C,Физическое лицо,Бытовая техника,Крупная техника,Санкт-Петербург,Новосибирск,Розничный,2023-05-02 05:19:00,2023-05-03 23:19:00,350.0,Весна,Весна
1108.54,698,40,6,Грузовик,B2C,Юридическое лицо,Бытовая техника,Крупная техника,Санкт-Петербург,Москва,Розничный,2023-10-23 17:25:00,2023-10-25 09:25:00,360.0,Осень,Осень
111.76,148,28,6,Грузовик,B2C,Физическое лицо,Одежда,Женская,Санкт-Петербург,Казань,Розничный,2023-06-17 06:46:00,2023-06-18 10:46:00,1.98,Лето,Лето
111.79,104,12,4,ЖД,B2C,Юридическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Новосибирск,Розничный,2023-05-05 00:00:00,2023-05-05 12:00:00,12.2,Весна,Весна
1113.14,781,23,6,Авиа,B2C,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Краснодар,Розничный,2023-03-28 02:30:00,2023-03-29 01:30:00,54.0,Весна,Весна
1114.27,890,10,10,Авиа,B2C,Юридическое лицо,Бытовая техника,Крупная техника,Санкт-Петербург,Новосибирск,Розничный,2023-07-20 21:55:00,2023-07-21 07:55:00,600.0,Лето,Лето
1118.66,598,61,5,Грузовик,B2C,Юридическое лицо,Одежда,Женская,Санкт-Петербург,Екатеринбург,Розничный,2023-04-19 05:38:00,2023-04-21 18:38:00,1.5,Весна,Весна
1118.82,617,35,5,Морской,B2C,Физическое лицо,Одежда,Унисекс,Санкт-Петербург,Краснодар,Розничный,2023-09-14 14:53:00,2023-09-16 01:53:00,2.0,Осень,Осень
1120.55,789,5,7,Грузовик,B2B,Физическое лицо,Спорттовары,Тренажеры,Санкт-Петербург,Новосибирск,Розничный,2023-11-25 04:29:00,2023-11-25 09:29:00,511.0,Осень,Осень
1121.48,936,18,7,Авиа,B2C,Физическое лицо,Одежда,Женская,Санкт-Петербург,Москва,Розничный,2023-10-20 12:34:00,2023-10-21 06:34:00,2.31,Осень,Осень
1123.52,607,66,10,Грузовик,B2C,Физическое лицо,Одежда,Мужская,Санкт-Петербург,Нижний Новгород,Розничный,2023-02-11 07:04:00,2023-02-14 01:04:00,3.0,Зима,Зима
1123.92,691,18,6,ЖД,B2C,Юридическое лицо,Спорттовары,Тренажеры,Санкт-Петербург,Владивосток,Розничный,2023-11-05 14:53:00,2023-11-06 08:53:00,157.8,Осень,Осень
1124.67,578,20,1,ЖД,B2C,Юридическое лицо,Электроника,Аксессуары,Санкт-Петербург,Калининград,Розничный,2023-06-25 05:36:00,2023-06-26 01:36:00,0.013,Лето,Лето
113.88,162,26,1,Авиа,B2C,Физическое лицо,Электроника,Компьютеры,Санкт-Петербург,Новосибирск,Розничный,2023-03-13 00:44:00,2023-03-14 02:44:00,10.0,Весна,Весна
1132.26,771,56,4,Грузовик,VIP,Физическое лицо,Электроника,Компьютеры,Санкт-Петербург,Казань,Розничный,2023-05-17 14:16:00,2023-05-19 22:16:00,20.0,Весна,Весна
1133.43,721,26,1,ЖД,B2C,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Екатеринбург,Розничный,2023-03-01 03:24:00,2023-03-02 05:24:00,0.013,Весна,Весна
1133.72,992,54,9,Авиа,B2C,Юридическое лицо,Электроника,Компьютеры,Санкт-Петербург,Сочи,Розничный,2023-12-06 00:50:00,2023-12-08 06:50:00,19.8,Зима,Зима
1134.16,577,25,7,ЖД,B2C,Физическое лицо,Электроника,Компьютеры,Санкт-Петербург,Краснодар,Розничный,2023-01-01 02:25:00,2023-01-02 03:25:00,35.0,Зима,Зима
1134.68,651,42,10,Авиа,B2C,Физическое лицо,Спорттовары,Тренажеры,Санкт-Петербург,Нижний Новгород,Розничный,2023-02-27 09:44:00,2023-03-01 03:44:00,730.0,Зима,Весна
114.27,96,39,5,Грузовик,B2C,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Сочи,Розничный,2023-05-01 16:20:00,2023-05-03 07:20:00,0.065,Весна,Весна
114.33,147,55,2,ЖД,B2C,Физическое лицо,Одежда,Женская,Санкт-Петербург,Новосибирск,Розничный,2023-06-07 17:22:00,2023-06-10 00:22:00,1.2,Лето,Лето
1140.8,940,8,2,Морской,B2C,Физическое лицо,Электроника,Компьютеры,Санкт-Петербург,Сочи,Розничный,2023-05-07 01:46:00,2023-05-07 09:46:00,20.0,Весна,Весна
1142.34,834,70,6,Авиа,B2C,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Новосибирск,Розничный,2023-08-14 03:13:00,2023-08-17 01:13:00,54.0,Лето,Лето
1143.17,992,10,8,Морской,B2C,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Казань,Розничный,2023-09-21 18:51:00,2023-09-22 04:51:00,72.0,Осень,Осень
1144.71,812,28,4,Морской,B2C,Физическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Екатеринбург,Розничный,2023-12-07 16:34:00,2023-12-08 20:34:00,0.68,Зима,Зима
1145.7,733,20,9,Морской,B2C,Юридическое лицо,Бытовая техника,Крупная техника,Санкт-Петербург,Калининград,Розничный,2023-01-26 23:17:00,2023-01-27 19:17:00,630.0,Зима,Зима
1146.58,783,44,5,Грузовик,B2C,Физическое лицо,Бытовая техника,Крупная техника,Санкт-Петербург,Москва,Розничный,2023-03-02 07:07:00,2023-03-04 03:07:00,300.0,Весна,Весна
115.85,78,11,5,ЖД,VIP,Физическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Екатеринбург,Розничный,2023-10-01 09:24:00,2023-10-01 20:24:00,0.8500000000000001,Осень,Осень
1150.12,715,68,1,Авиа,B2C,Физическое лицо,Одежда,Унисекс,Санкт-Петербург,Нижний Новгород,Розничный,2023-05-22 10:44:00,2023-05-25 06:44:00,0.18,Весна,Весна
1151.21,907,17,4,Авиа,B2C,Юридическое лицо,Одежда,Мужская,Санкт-Петербург,Владивосток,Розничный,2023-11-20 13:28:00,2023-11-21 06:28:00,2.0,Осень,Осень
1151.8,998,27,5,Морской,B2C,Физическое лицо,Одежда,Унисекс,Санкт-Петербург,Екатеринбург,Розничный,2023-10-07 00:37:00,2023-10-08 03:37:00,2.0,Осень,Осень
1153.77,707,9,5,Грузовик,B2C,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Владивосток,Розничный,2023-06-07 17:36:00,2023-06-08 02:36:00,45.0,Лето,Лето
1154.55,873,15,10,ЖД,B2B,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Нижний Новгород,Розничный,2023-03-11 14:33:00,2023-03-12 05:33:00,30.5,Весна,Весна
1158.24,903,13,8,Морской,B2C,Физическое лицо,Одежда,Женская,Санкт-Петербург,Владивосток,Розничный,2023-02-09 02:08:00,2023-02-09 15:08:00,2.64,Зима,Зима
1159.09,720,25,4,Авиа,VIP,Физическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Калининград,Розничный,2023-06-18 04:22:00,2023-06-19 05:22:00,2.0,Лето,Лето
116.81,114,26,6,Грузовик,B2C,Физическое лицо,Одежда,Унисекс,Санкт-Петербург,Москва,Розничный,2023-09-06 12:26:00,2023-09-07 14:26:00,2.4000000000000004,Осень,Осень
116.96,102,6,9,Грузовик,B2C,Юридическое лицо,Бытовая техника,Крупная техника,Санкт-Петербург,Краснодар,Розничный,2023-03-20 22:13:00,2023-03-21 04:13:00,540.0,Весна,Весна
1160.18,719,40,9,Морской,B2C,Юридическое лицо,Бытовая техника,Крупная техника,Санкт-Петербург,Нижний Новгород,Розничный,2023-06-28 23:54:00,2023-06-30 15:54:00,630.0,Лето,Лето
1161.66,724,45,3,Авиа,B2B,Физическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Владивосток,Розничный,2023-06-02 22:21:00,2023-06-04 19:21:00,0.51,Лето,Лето
1163.15,847,2,5,Морской,B2B,Физическое лицо,Одежда,Унисекс,Санкт-Петербург,Калининград,Розничный,2023-07-30 15:15:00,2023-07-30 17:15:00,2.0,Лето,Лето
1163.81,837,14,10,Авиа,B2C,Физическое лицо,Электроника,Компьютеры,Санкт-Петербург,Казань,Розничный,2023-06-27 04:21:00,2023-06-27 18:21:00,100.0,Лето,Лето
1165.31,601,25,1,ЖД,B2B,Физическое лицо,Спорттовары,Тренажеры,Санкт-Петербург,Москва,Розничный,2023-03-30 13:18:00,2023-03-31 14:18:00,26.3,Весна,Весна
1166.38,755,71,6,Морской,B2B,Физическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Нижний Новгород,Розничный,2023-01-09 13:08:00,2023-01-12 12:08:00,3.0,Зима,Зима
1169.15,843,56,8,Грузовик,B2C,Физическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Екатеринбург,Розничный,2023-12-08 21:56:00,2023-12-11 05:56:00,4.0,Зима,Зима
117.39,65,50,1,Морской,B2C,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Калининград,Розничный,2023-06-16 13:26:00,2023-06-18 15:26:00,3.05,Лето,Лето
117.52,101,17,8,ЖД,B2B,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Калининград,Розничный,2023-05-24 02:00:00,2023-05-24 19:00:00,140.0,Весна,Весна
