,cost,distance,delivery_time_hours,quantity,segment,customer_type,category,sub_category,city_x,city_y,store_type,departure_date,arrival_date,total_mass_kg,departure_season,arrival_season
833,1437.53,992,15,6,B2B,Физическое лицо,Электроника,Мобильные устройства,Казань,Владивосток,Розничный,2023-01-03 16:37:00,2023-01-04 07:37:00,1.02,Зима,Зима
660,132.72,80,9,1,B2C,Юридическое лицо,Бытовая техника,Крупная техника,Новосибирск,Калининград,Розничный,2023-01-03 21:28:00,2023-01-04 06:28:00,70.0,Зима,Зима
1744,281.48,520,52,1,B2B,Физическое лицо,Бытовая техника,Крупная техника,Нижний Новгород,Санкт-Петербург,Розничный,2023-01-04 00:25:00,2023-01-06 04:25:00,60.0,Зима,Зима
889,1475.01,751,23,9,B2B,Юридическое лицо,Бытовая техника,Малая техника,Нижний Новгород,Новосибирск,Розничный,2023-01-04 01:04:00,2023-01-05 00:04:00,27.45,Зима,Зима
384,1171.02,824,69,10,B2C,Физическое лицо,Одежда,Унисекс,Нижний Новгород,Сочи,Розничный,2023-01-04 02:46:00,2023-01-06 23:46:00,4.0,Зима,Зима
912,1492.91,845,15,8,B2B,Физическое лицо,Электроника,Аксессуары,Казань,Краснодар,Розничный,2023-01-04 04:39:00,2023-01-04 19:39:00,0.104,Зима,Зима
2755,503.72,328,20,2,B2B,Физическое лицо,Электроника,Аксессуары,Москва,Сочи,Розничный,2023-01-04 12:35:00,2023-01-05 08:35:00,0.5,Зима,Зима
884,147.66,85,28,7,B2B,Юридическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Екатеринбург,Розничный,2023-01-04 13:20:00,2023-01-05 17:20:00,24.5,Зима,Зима
3008,557.89,707,28,2,B2C,Физическое лицо,Электроника,Компьютеры,Москва,Краснодар,Розничный,2023-01-04 13:47:00,2023-01-05 17:47:00,10.0,Зима,Зима
3598,71.19,69,7,8,B2B,Физическое лицо,Электроника,Компьютеры,Москва,Владивосток,Розничный,2023-01-04 14:15:00,2023-01-04 21:15:00,17.6,Зима,Зима
2487,440.48,656,72,7,VIP,Физическое лицо,Бытовая техника,Малая техника,Казань,Сочи,Оптовый,2023-01-04 16:57:00,2023-01-07 16:57:00,63.0,Зима,Зима
396,118.94,68,33,3,B2C,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Москва,Розничный,2023-01-04 17:45:00,2023-01-06 02:45:00,27.0,Зима,Зима
4406,958.15,734,31,2,VIP,Физическое лицо,Одежда,Женская,Казань,Санкт-Петербург,Оптовый,2023-01-04 18:18:00,2023-01-06 01:18:00,0.66,Зима,Зима
1051,1586.9,830,51,8,B2C,Юридическое лицо,Электроника,Компьютеры,Санкт-Петербург,Новосибирск,Розничный,2023-01-04 20:37:00,2023-01-06 23:37:00,17.6,Зима,Зима
2525,45.99,32,59,1,B2C,Физическое лицо,Одежда,Женская,Новосибирск,Краснодар,Розничный,2023-01-04 20:57:00,2023-01-07 07:57:00,0.33,Зима,Зима
4137,867.21,799,7,1,B2C,Физическое лицо,Одежда,Женская,Москва,Владивосток,Розничный,2023-01-05 01:32:00,2023-01-05 08:32:00,0.3,Зима,Зима
437,1201.75,766,10,8,B2B,Юридическое лицо,Электроника,Аксессуары,Сочи,Санкт-Петербург,Розничный,2023-01-05 02:58:00,2023-01-05 12:58:00,2.0,Зима,Зима
205,1088.01,727,29,9,B2B,Физическое лицо,Бытовая техника,Малая техника,Новосибирск,Калининград,Розничный,2023-01-05 04:49:00,2023-01-06 09:49:00,27.45,Зима,Зима
363,1162.2,741,70,1,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Краснодар,Оптовый,2023-01-05 05:32:00,2023-01-08 03:32:00,3.5,Зима,Зима
3401,658.51,590,41,2,B2B,Юридическое лицо,Бытовая техника,Крупная техника,Санкт-Петербург,Сочи,Розничный,2023-01-05 05:46:00,2023-01-06 22:46:00,140.0,Зима,Зима
1149,168.36,267,1,3,B2B,Физическое лицо,Электроника,Компьютеры,Казань,Краснодар,Оптовый,2023-01-05 08:27:00,2023-01-05 09:27:00,6.6000000000000005,Зима,Зима
3756,754.67,615,25,6,B2C,Физическое лицо,Одежда,Женская,Москва,Калининград,Розничный,2023-01-05 08:31:00,2023-01-06 09:31:00,1.98,Зима,Зима
2960,547.35,611,12,9,B2C,Физическое лицо,Одежда,Унисекс,Сочи,Сочи,Розничный,2023-01-05 09:10:00,2023-01-05 21:10:00,3.6,Зима,Зима
2101,359.37,610,52,8,B2B,Юридическое лицо,Электроника,Компьютеры,Казань,Нижний Новгород,Розничный,2023-01-05 15:04:00,2023-01-07 19:04:00,40.0,Зима,Зима
1656,261.67,159,25,9,B2C,Физическое лицо,Одежда,Унисекс,Казань,Новосибирск,Розничный,2023-01-05 17:38:00,2023-01-06 18:38:00,3.6,Зима,Зима
323,114.62,78,23,10,B2C,Юридическое лицо,Одежда,Мужская,Казань,Краснодар,Розничный,2023-01-05 18:39:00,2023-01-06 17:39:00,5.0,Зима,Зима
2291,399.38,559,25,6,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Казань,Оптовый,2023-01-05 19:01:00,2023-01-06 20:01:00,21.0,Зима,Зима
4000,83.82,100,25,7,B2C,Физическое лицо,Электроника,Аксессуары,Казань,Москва,Оптовый,2023-01-05 20:27:00,2023-01-06 21:27:00,1.75,Зима,Зима
1153,1681.21,892,36,9,B2C,Физическое лицо,Электроника,Мобильные устройства,Москва,Краснодар,Розничный,2023-01-06 09:16:00,2023-01-07 21:16:00,1.53,Зима,Зима
1066,16.64,11,17,2,B2B,Физическое лицо,Бытовая техника,Крупная техника,Новосибирск,Нижний Новгород,Розничный,2023-01-06 09:32:00,2023-01-07 02:32:00,140.0,Зима,Зима
1913,320.1,507,49,1,B2C,Физическое лицо,Бытовая техника,Малая техника,Новосибирск,Москва,Розничный,2023-01-06 10:37:00,2023-01-08 11:37:00,3.5,Зима,Зима
2169,375.89,350,50,3,VIP,Физическое лицо,Бытовая техника,Малая техника,Казань,Калининград,Розничный,2023-01-06 12:39:00,2023-01-08 14:39:00,2.94,Зима,Зима
2962,547.98,556,11,2,B2C,Физическое лицо,Одежда,Унисекс,Казань,Сочи,Розничный,2023-01-06 15:27:00,2023-01-07 02:27:00,1.2,Зима,Зима
3031,564.2,541,44,9,VIP,Физическое лицо,Электроника,Компьютеры,Новосибирск,Новосибирск,Розничный,2023-01-06 16:28:00,2023-01-08 12:28:00,90.0,Зима,Зима
59,1020.97,581,45,1,B2C,Физическое лицо,Электроника,Аксессуары,Казань,Сочи,Розничный,2023-01-06 22:58:00,2023-01-08 19:58:00,0.03,Зима,Зима
2646,48.52,27,43,9,B2C,Физическое лицо,Одежда,Унисекс,Казань,Сочи,Розничный,2023-01-07 04:25:00,2023-01-08 23:25:00,5.4,Зима,Зима
2889,530.52,813,39,5,B2C,Физическое лицо,Спорттовары,Тренажеры,Москва,Нижний Новгород,Розничный,2023-01-07 05:41:00,2023-01-08 20:41:00,131.5,Зима,Зима
622,13.76,17,53,5,B2B,Юридическое лицо,Электроника,Аксессуары,Сочи,Владивосток,Розничный,2023-01-07 08:17:00,2023-01-09 13:17:00,0.065,Зима,Зима
1071,160.92,100,62,9,VIP,Физическое лицо,Одежда,Женская,Москва,Москва,Розничный,2023-01-07 08:55:00,2023-01-09 22:55:00,2.7,Зима,Зима
229,1098.2,690,68,9,B2C,Юридическое лицо,Одежда,Унисекс,Новосибирск,Казань,Розничный,2023-01-07 09:33:00,2023-01-10 05:33:00,5.4,Зима,Зима
2769,505.92,872,65,7,B2B,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Владивосток,Розничный,2023-01-07 09:51:00,2023-01-10 02:51:00,1.75,Зима,Зима
2717,495.23,407,43,9,B2B,Физическое лицо,Одежда,Мужская,Сочи,Екатеринбург,Розничный,2023-01-07 12:53:00,2023-01-09 07:53:00,6.3,Зима,Зима
3450,668.33,431,18,10,B2B,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Сочи,Розничный,2023-01-07 15:38:00,2023-01-08 09:38:00,0.3,Зима,Зима
966,1519.95,803,9,9,B2C,Физическое лицо,Электроника,Компьютеры,Москва,Казань,Розничный,2023-01-07 16:05:00,2023-01-08 01:05:00,19.8,Зима,Зима
316,1134.25,749,49,6,B2C,Юридическое лицо,Электроника,Мобильные устройства,Казань,Нижний Новгород,Оптовый,2023-01-07 16:22:00,2023-01-09 17:22:00,3.0,Зима,Зима
442,1203.0,809,62,9,VIP,Юридическое лицо,Электроника,Аксессуары,Казань,Краснодар,Оптовый,2023-01-07 16:40:00,2023-01-10 06:40:00,0.27,Зима,Зима
382,1170.79,726,11,5,B2C,Физическое лицо,Одежда,Женская,Казань,Владивосток,Розничный,2023-01-07 22:16:00,2023-01-08 09:16:00,1.65,Зима,Зима
794,1405.97,964,14,7,B2B,Физическое лицо,Одежда,Мужская,Казань,Санкт-Петербург,Розничный,2023-01-07 23:37:00,2023-01-08 13:37:00,2.1,Зима,Зима
714,1356.42,682,15,10,B2C,Физическое лицо,Одежда,Женская,Сочи,Нижний Новгород,Розничный,2023-01-07 23:44:00,2023-01-08 14:44:00,6.0,Зима,Зима
2270,393.1,260,44,5,B2C,Юридическое лицо,Одежда,Мужская,Казань,Краснодар,Розничный,2023-01-08 06:45:00,2023-01-10 02:45:00,3.5,Зима,Зима
1990,334.15,555,5,3,B2C,Физическое лицо,Бытовая техника,Малая техника,Сочи,Москва,Розничный,2023-01-08 11:43:00,2023-01-08 16:43:00,9.15,Зима,Зима
4365,943.85,515,33,6,B2C,Физическое лицо,Электроника,Мобильные устройства,Москва,Москва,Розничный,2023-01-08 12:57:00,2023-01-09 21:57:00,1.02,Зима,Зима
2986,551.5,813,8,1,B2B,Физическое лицо,Электроника,Аксессуары,Казань,Казань,Оптовый,2023-01-08 13:04:00,2023-01-08 21:04:00,0.25,Зима,Зима
1048,1580.27,946,54,5,B2C,Юридическое лицо,Электроника,Компьютеры,Новосибирск,Владивосток,Розничный,2023-01-08 15:13:00,2023-01-10 21:13:00,25.0,Зима,Зима
2826,517.2,412,50,9,B2C,Физическое лицо,Электроника,Мобильные устройства,Казань,Владивосток,Оптовый,2023-01-08 15:19:00,2023-01-10 17:19:00,1.53,Зима,Зима
3422,661.88,462,55,9,B2C,Юридическое лицо,Одежда,Унисекс,Казань,Нижний Новгород,Розничный,2023-01-08 22:33:00,2023-01-11 05:33:00,3.6,Зима,Зима
3192,605.34,483,41,10,B2C,Физическое лицо,Одежда,Унисекс,Нижний Новгород,Краснодар,Розничный,2023-01-09 03:04:00,2023-01-10 20:04:00,1.7999999999999998,Зима,Зима
2445,430.19,234,60,10,B2C,Физическое лицо,Электроника,Аксессуары,Сочи,Краснодар,Розничный,2023-01-09 03:22:00,2023-01-11 15:22:00,2.5,Зима,Зима
1430,208.46,149,68,6,B2C,Юридическое лицо,Одежда,Мужская,Москва,Новосибирск,Розничный,2023-01-09 05:13:00,2023-01-12 01:13:00,3.0,Зима,Зима
1957,329.95,456,24,8,B2C,Физическое лицо,Электроника,Мобильные устройства,Сочи,Владивосток,Розничный,2023-01-09 05:23:00,2023-01-10 05:23:00,1.36,Зима,Зима
461,1212.18,772,45,2,B2B,Физическое лицо,Спорттовары,Тренажеры,Казань,Екатеринбург,Оптовый,2023-01-09 08:44:00,2023-01-11 05:44:00,52.6,Зима,Зима
626,130.66,81,19,1,VIP,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Екатеринбург,Розничный,2023-01-09 10:28:00,2023-01-10 05:28:00,17.5,Зима,Зима
3460,670.07,428,43,5,B2C,Физическое лицо,Электроника,Аксессуары,Москва,Москва,Розничный,2023-01-09 17:03:00,2023-01-11 12:03:00,0.065,Зима,Зима
3717,741.85,513,56,4,VIP,Юридическое лицо,Одежда,Женская,Казань,Екатеринбург,Оптовый,2023-01-09 19:39:00,2023-01-12 03:39:00,2.4,Зима,Зима
3438,666.19,541,39,8,B2C,Физическое лицо,Одежда,Мужская,Новосибирск,Нижний Новгород,Розничный,2023-01-09 20:03:00,2023-01-11 11:03:00,5.6,Зима,Зима
2464,435.6,347,65,1,B2C,Юридическое лицо,Электроника,Компьютеры,Казань,Казань,Розничный,2023-01-09 22:49:00,2023-01-12 15:49:00,5.0,Зима,Зима
4068,846.54,491,70,5,B2C,Физическое лицо,Одежда,Женская,Нижний Новгород,Нижний Новгород,Розничный,2023-01-10 00:26:00,2023-01-12 22:26:00,1.65,Зима,Зима
1623,255.25,131,23,1,VIP,Физическое лицо,Одежда,Мужская,Москва,Москва,Розничный,2023-01-10 02:15:00,2023-01-11 01:15:00,0.7,Зима,Зима
2716,494.74,471,17,3,B2C,Юридическое лицо,Одежда,Унисекс,Нижний Новгород,Калининград,Розничный,2023-01-10 02:59:00,2023-01-10 19:59:00,0.54,Зима,Зима
2317,403.9,372,24,4,B2C,Физическое лицо,Одежда,Мужская,Москва,Новосибирск,Розничный,2023-01-10 04:19:00,2023-01-11 04:19:00,2.0,Зима,Зима
3286,627.07,743,54,7,B2C,Физическое лицо,Бытовая техника,Малая техника,Сочи,Казань,Розничный,2023-01-10 04:55:00,2023-01-12 10:55:00,63.0,Зима,Зима
2296,4.77,5,19,9,B2C,Физическое лицо,Одежда,Мужская,Новосибирск,Новосибирск,Розничный,2023-01-10 04:56:00,2023-01-10 23:56:00,6.3,Зима,Зима
3030,564.12,922,36,5,B2C,Физическое лицо,Бытовая техника,Малая техника,Сочи,Казань,Розничный,2023-01-10 05:07:00,2023-01-11 17:07:00,15.25,Зима,Зима
2552,457.81,390,22,4,B2B,Физическое лицо,Одежда,Женская,Нижний Новгород,Нижний Новгород,Розничный,2023-01-10 11:02:00,2023-01-11 09:02:00,1.2,Зима,Зима
411,119.66,63,6,1,B2C,Физическое лицо,Электроника,Компьютеры,Москва,Сочи,Розничный,2023-01-10 12:20:00,2023-01-10 18:20:00,2.2,Зима,Зима
344,1151.19,745,27,5,B2C,Физическое лицо,Спорттовары,Тренажеры,Сочи,Сочи,Розничный,2023-01-10 13:20:00,2023-01-11 16:20:00,131.5,Зима,Зима
1765,286.64,230,58,7,B2C,Физическое лицо,Электроника,Мобильные устройства,Сочи,Калининград,Розничный,2023-01-10 14:06:00,2023-01-13 00:06:00,3.5,Зима,Зима
1684,268.25,259,62,4,B2B,Физическое лицо,Одежда,Женская,Санкт-Петербург,Казань,Розничный,2023-01-10 14:17:00,2023-01-13 04:17:00,2.4,Зима,Зима
1175,1705.76,896,18,2,VIP,Юридическое лицо,Электроника,Мобильные устройства,Казань,Москва,Розничный,2023-01-10 15:38:00,2023-01-11 09:38:00,0.34,Зима,Зима
3360,645.86,379,46,2,B2C,Физическое лицо,Электроника,Компьютеры,Сочи,Москва,Розничный,2023-01-10 16:32:00,2023-01-12 14:32:00,20.0,Зима,Зима
2282,397.31,496,72,2,B2C,Физическое лицо,Спорттовары,Тренажеры,Сочи,Казань,Розничный,2023-01-10 16:54:00,2023-01-13 16:54:00,146.0,Зима,Зима
3502,680.11,858,12,2,B2B,Физическое лицо,Одежда,Мужская,Казань,Санкт-Петербург,Оптовый,2023-01-10 17:40:00,2023-01-11 05:40:00,1.4,Зима,Зима
4466,975.97,969,12,7,B2C,Физическое лицо,Одежда,Унисекс,Сочи,Москва,Розничный,2023-01-10 19:59:00,2023-01-11 07:59:00,4.2,Зима,Зима
1373,195.85,101,49,7,B2C,Физическое лицо,Электроника,Мобильные устройства,Нижний Новгород,Новосибирск,Розничный,2023-01-10 22:33:00,2023-01-12 23:33:00,1.1900000000000002,Зима,Зима
2708,492.1,455,35,2,B2C,Физическое лицо,Одежда,Женская,Москва,Санкт-Петербург,Розничный,2023-01-11 01:44:00,2023-01-12 12:44:00,0.66,Зима,Зима
276,1119.43,755,36,2,B2C,Физическое лицо,Электроника,Мобильные устройства,Нижний Новгород,Екатеринбург,Розничный,2023-01-11 04:10:00,2023-01-12 16:10:00,0.34,Зима,Зима
3202,607.99,593,45,2,B2C,Физическое лицо,Одежда,Унисекс,Москва,Новосибирск,Розничный,2023-01-11 05:37:00,2023-01-13 02:37:00,0.36,Зима,Зима
2015,34.76,51,19,4,B2B,Физическое лицо,Электроника,Компьютеры,Сочи,Москва,Розничный,2023-01-11 12:26:00,2023-01-12 07:26:00,8.8,Зима,Зима
3693,732.73,478,2,4,B2C,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Владивосток,Розничный,2023-01-11 12:40:00,2023-01-11 14:40:00,0.052,Зима,Зима
3084,578.3,331,40,6,B2C,Физическое лицо,Бытовая техника,Малая техника,Новосибирск,Москва,Розничный,2023-01-11 17:15:00,2023-01-13 09:15:00,21.0,Зима,Зима
2508,446.86,231,37,1,B2B,Физическое лицо,Бытовая техника,Малая техника,Казань,Сочи,Оптовый,2023-01-11 19:41:00,2023-01-13 08:41:00,0.98,Зима,Зима
2680,488.3,618,19,7,B2B,Физическое лицо,Одежда,Мужская,Новосибирск,Калининград,Розничный,2023-01-11 20:32:00,2023-01-12 15:32:00,3.5,Зима,Зима
4131,864.75,862,62,7,B2C,Физическое лицо,Электроника,Мобильные устройства,Сочи,Екатеринбург,Розничный,2023-01-11 20:45:00,2023-01-14 10:45:00,1.1900000000000002,Зима,Зима
2578,463.87,633,40,9,B2C,Физическое лицо,Бытовая техника,Малая техника,Москва,Краснодар,Розничный,2023-01-12 00:30:00,2023-01-13 16:30:00,27.45,Зима,Зима
2654,481.89,344,34,3,VIP,Физическое лицо,Электроника,Мобильные устройства,Нижний Новгород,Екатеринбург,Розничный,2023-01-12 02:15:00,2023-01-13 12:15:00,0.51,Зима,Зима
468,1215.85,707,47,6,VIP,Юридическое лицо,Одежда,Мужская,Казань,Екатеринбург,Оптовый,2023-01-12 09:35:00,2023-01-14 08:35:00,1.7999999999999998,Зима,Зима
3823,778.13,911,8,8,B2C,Юридическое лицо,Бытовая техника,Малая техника,Новосибирск,Владивосток,Розничный,2023-01-12 11:05:00,2023-01-12 19:05:00,28.0,Зима,Зима
3029,563.65,353,31,1,B2C,Физическое лицо,Электроника,Компьютеры,Москва,Новосибирск,Розничный,2023-01-12 12:10:00,2023-01-13 19:10:00,5.0,Зима,Зима
2470,436.63,441,13,4,B2C,Юридическое лицо,Электроника,Аксессуары,Санкт-Петербург,Владивосток,Розничный,2023-01-12 12:17:00,2023-01-13 01:17:00,1.0,Зима,Зима
245,1103.49,748,18,7,B2C,Физическое лицо,Электроника,Аксессуары,Казань,Екатеринбург,Оптовый,2023-01-12 14:51:00,2023-01-13 08:51:00,0.21,Зима,Зима
2526,451.08,743,50,8,B2C,Физическое лицо,Электроника,Мобильные устройства,Москва,Санкт-Петербург,Розничный,2023-01-12 15:06:00,2023-01-14 17:06:00,4.0,Зима,Зима
999,1543.33,886,31,2,B2C,Юридическое лицо,Спорттовары,Тренажеры,Москва,Нижний Новгород,Розничный,2023-01-12 15:30:00,2023-01-13 22:30:00,52.6,Зима,Зима
3456,67.15,43,17,2,B2C,Физическое лицо,Бытовая техника,Крупная техника,Казань,Казань,Розничный,2023-01-12 15:59:00,2023-01-13 08:59:00,140.0,Зима,Зима
308,1133.29,570,55,3,B2C,Юридическое лицо,Электроника,Мобильные устройства,Новосибирск,Владивосток,Розничный,2023-01-12 16:24:00,2023-01-14 23:24:00,0.51,Зима,Зима
804,141.94,220,46,10,B2B,Юридическое лицо,Одежда,Мужская,Казань,Владивосток,Оптовый,2023-01-12 17:17:00,2023-01-14 15:17:00,7.0,Зима,Зима
1695,27.43,27,39,2,B2C,Юридическое лицо,Бытовая техника,Малая техника,Москва,Новосибирск,Розничный,2023-01-12 19:54:00,2023-01-14 10:54:00,7.0,Зима,Зима
401,1186.64,682,58,6,B2C,Юридическое лицо,Бытовая техника,Малая техника,Казань,Казань,Оптовый,2023-01-13 03:04:00,2023-01-15 13:04:00,5.88,Зима,Зима
4039,838.99,877,49,5,B2C,Физическое лицо,Одежда,Мужская,Казань,Санкт-Петербург,Оптовый,2023-01-13 03:54:00,2023-01-15 04:54:00,2.5,Зима,Зима
2856,525.12,297,37,8,B2C,Физическое лицо,Электроника,Аксессуары,Новосибирск,Владивосток,Розничный,2023-01-13 04:58:00,2023-01-14 17:58:00,2.0,Зима,Зима
1206,174.66,265,8,2,B2B,Физическое лицо,Спорттовары,Тренажеры,Казань,Новосибирск,Оптовый,2023-01-13 05:39:00,2023-01-13 13:39:00,52.6,Зима,Зима
4464,975.43,679,47,1,B2B,Физическое лицо,Одежда,Унисекс,Казань,Москва,Оптовый,2023-01-13 05:59:00,2023-01-15 04:59:00,0.18,Зима,Зима
3671,728.05,450,25,8,B2C,Физическое лицо,Одежда,Женская,Сочи,Москва,Розничный,2023-01-13 06:40:00,2023-01-14 07:40:00,4.8,Зима,Зима
3645,722.41,560,50,2,B2C,Физическое лицо,Одежда,Унисекс,Казань,Владивосток,Оптовый,2023-01-13 21:49:00,2023-01-15 23:49:00,0.8,Зима,Зима
2687,489.49,409,6,7,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Москва,Оптовый,2023-01-13 22:23:00,2023-01-14 04:23:00,63.0,Зима,Зима
3948,811.68,466,9,4,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Казань,Розничный,2023-01-14 01:08:00,2023-01-14 10:08:00,70.0,Зима,Зима
1859,309.49,581,61,5,B2C,Юридическое лицо,Одежда,Унисекс,Казань,Казань,Оптовый,2023-01-14 02:36:00,2023-01-16 15:36:00,2.0,Зима,Зима
3403,658.78,808,15,7,VIP,Физическое лицо,Электроника,Аксессуары,Нижний Новгород,Санкт-Петербург,Розничный,2023-01-14 06:49:00,2023-01-14 21:49:00,1.75,Зима,Зима
3611,711.27,715,44,1,B2C,Физическое лицо,Одежда,Мужская,Москва,Сочи,Розничный,2023-01-14 09:30:00,2023-01-16 05:30:00,0.5,Зима,Зима
2721,496.19,826,53,6,B2C,Физическое лицо,Бытовая техника,Малая техника,Новосибирск,Казань,Розничный,2023-01-14 13:19:00,2023-01-16 18:19:00,54.0,Зима,Зима
2957,546.72,956,54,4,B2C,Физическое лицо,Одежда,Женская,Казань,Екатеринбург,Оптовый,2023-01-14 15:11:00,2023-01-16 21:11:00,1.32,Зима,Зима
746,1381.47,890,4,1,B2C,Физическое лицо,Одежда,Мужская,Москва,Новосибирск,Розничный,2023-01-14 17:42:00,2023-01-14 21:42:00,0.5,Зима,Зима
4451,971.33,552,57,1,B2B,Физическое лицо,Одежда,Мужская,Казань,Новосибирск,Розничный,2023-01-14 18:54:00,2023-01-17 03:54:00,0.7,Зима,Зима
868,1456.71,946,47,1,B2B,Физическое лицо,Одежда,Мужская,Сочи,Санкт-Петербург,Розничный,2023-01-14 20:05:00,2023-01-16 19:05:00,0.5,Зима,Зима
