,cost,distance,delivery_time_hours,quantity,segment,customer_type,category,sub_category,city_x,city_y,store_type,departure_date,arrival_date,total_mass_kg,departure_season,arrival_season
4078,865.21,433,55,1,B2C,Физическое лицо,Спорттовары,Тренажеры,Санкт-Петербург,Москва,Розничный,2023-01-03 23:36:00,2023-01-06 06:36:00,26.3,Зима,Зима
677,1336.21,787,45,3,B2C,Физическое лицо,Электроника,Аксессуары,Москва,Владивосток,Розничный,2023-01-04 00:04:00,2023-01-05 21:04:00,0.09,Зима,Зима
1613,247.15,400,39,3,B2B,Физическое лицо,Электроника,Мобильные устройства,Москва,Санкт-Петербург,Розничный,2023-01-04 00:14:00,2023-01-05 15:14:00,1.5,Зима,Зима
698,1349.07,773,4,3,VIP,Физическое лицо,Одежда,Мужская,Новосибирск,Владивосток,Розничный,2023-01-04 00:28:00,2023-01-04 04:28:00,1.5,Зима,Зима
672,1331.2,669,47,2,B2B,Физическое лицо,Бытовая техника,Малая техника,Казань,Екатеринбург,Оптовый,2023-01-04 00:47:00,2023-01-05 23:47:00,7.0,Зима,Зима
2171,369.87,276,56,2,B2C,Физическое лицо,Электроника,Мобильные устройства,Казань,Сочи,Розничный,2023-01-04 02:56:00,2023-01-06 10:56:00,1.0,Зима,Зима
3716,75.07,67,1,6,VIP,Физическое лицо,Одежда,Женская,Новосибирск,Владивосток,Розничный,2023-01-04 03:19:00,2023-01-04 04:19:00,1.98,Зима,Зима
1675,259.32,352,7,5,B2B,Юридическое лицо,Спорттовары,Тренажеры,Казань,Санкт-Петербург,Оптовый,2023-01-04 08:31:00,2023-01-04 15:31:00,131.5,Зима,Зима
3040,563.83,781,49,7,VIP,Физическое лицо,Электроника,Аксессуары,Сочи,Санкт-Петербург,Розничный,2023-01-04 09:58:00,2023-01-06 10:58:00,0.091,Зима,Зима
4165,897.19,503,71,10,B2B,Физическое лицо,Бытовая техника,Малая техника,Казань,Новосибирск,Оптовый,2023-01-04 11:46:00,2023-01-07 10:46:00,30.5,Зима,Зима
1739,270.13,206,38,10,B2B,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Казань,Розничный,2023-01-04 11:51:00,2023-01-06 01:51:00,30.5,Зима,Зима
4415,986.15,889,12,9,B2C,Юридическое лицо,Электроника,Аксессуары,Казань,Нижний Новгород,Оптовый,2023-01-04 14:23:00,2023-01-05 02:23:00,0.27,Зима,Зима
2804,507.87,514,3,6,VIP,Физическое лицо,Электроника,Аксессуары,Москва,Казань,Розничный,2023-01-04 18:21:00,2023-01-04 21:21:00,0.18,Зима,Зима
1742,270.68,322,52,9,B2C,Физическое лицо,Электроника,Мобильные устройства,Москва,Екатеринбург,Розничный,2023-01-04 20:40:00,2023-01-07 00:40:00,1.53,Зима,Зима
1519,223.52,128,31,6,B2B,Физическое лицо,Электроника,Аксессуары,Нижний Новгород,Владивосток,Розничный,2023-01-04 20:42:00,2023-01-06 03:42:00,1.5,Зима,Зима
1100,1634.0,900,21,9,B2C,Физическое лицо,Электроника,Мобильные устройства,Москва,Калининград,Розничный,2023-01-05 01:57:00,2023-01-05 22:57:00,1.53,Зима,Зима
1595,241.77,320,4,2,B2C,Юридическое лицо,Спорттовары,Тренажеры,Нижний Новгород,Новосибирск,Розничный,2023-01-05 01:59:00,2023-01-05 05:59:00,52.6,Зима,Зима
1427,206.69,214,15,1,B2C,Физическое лицо,Бытовая техника,Малая техника,Москва,Нижний Новгород,Розничный,2023-01-05 02:15:00,2023-01-05 17:15:00,3.5,Зима,Зима
1357,19.72,11,18,2,B2B,Физическое лицо,Одежда,Мужская,Казань,Калининград,Розничный,2023-01-05 03:00:00,2023-01-05 21:00:00,1.4,Зима,Зима
1377,194.53,234,7,3,B2B,Физическое лицо,Одежда,Унисекс,Казань,Владивосток,Оптовый,2023-01-05 06:01:00,2023-01-05 13:01:00,0.54,Зима,Зима
1572,237.64,231,34,6,B2B,Физическое лицо,Электроника,Компьютеры,Казань,Калининград,Оптовый,2023-01-05 06:42:00,2023-01-06 16:42:00,30.0,Зима,Зима
1976,326.06,255,14,2,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Нижний Новгород,Оптовый,2023-01-05 10:00:00,2023-01-06 00:00:00,35.0,Зима,Зима
4220,912.99,613,30,6,B2B,Физическое лицо,Одежда,Женская,Санкт-Петербург,Калининград,Розничный,2023-01-05 10:16:00,2023-01-06 16:16:00,3.6,Зима,Зима
973,1527.48,807,15,6,B2B,Физическое лицо,Одежда,Мужская,Сочи,Екатеринбург,Розничный,2023-01-05 10:23:00,2023-01-06 01:23:00,3.0,Зима,Зима
2905,529.33,318,38,2,B2B,Юридическое лицо,Одежда,Женская,Нижний Новгород,Казань,Розничный,2023-01-05 16:58:00,2023-01-07 06:58:00,1.2,Зима,Зима
2545,448.32,824,7,2,B2B,Физическое лицо,Бытовая техника,Малая техника,Казань,Москва,Розничный,2023-01-05 18:39:00,2023-01-06 01:39:00,6.1,Зима,Зима
813,1416.04,742,27,1,B2B,Физическое лицо,Одежда,Унисекс,Москва,Сочи,Розничный,2023-01-05 20:01:00,2023-01-06 23:01:00,0.4,Зима,Зима
2216,377.81,423,56,4,B2C,Физическое лицо,Бытовая техника,Малая техника,Нижний Новгород,Владивосток,Розничный,2023-01-05 20:22:00,2023-01-08 04:22:00,3.92,Зима,Зима
1884,303.35,579,58,5,B2C,Физическое лицо,Электроника,Компьютеры,Нижний Новгород,Владивосток,Розничный,2023-01-05 20:33:00,2023-01-08 06:33:00,11.0,Зима,Зима
2308,396.3,201,46,5,B2B,Юридическое лицо,Одежда,Женская,Сочи,Владивосток,Розничный,2023-01-06 06:11:00,2023-01-08 04:11:00,3.0,Зима,Зима
4301,943.96,948,57,6,B2C,Физическое лицо,Одежда,Мужская,Сочи,Санкт-Петербург,Розничный,2023-01-06 08:51:00,2023-01-08 17:51:00,3.0,Зима,Зима
2416,417.92,615,9,7,B2C,Физическое лицо,Одежда,Мужская,Сочи,Краснодар,Розничный,2023-01-06 09:48:00,2023-01-06 18:48:00,3.5,Зима,Зима
4288,939.49,860,44,8,B2B,Физическое лицо,Одежда,Унисекс,Нижний Новгород,Новосибирск,Розничный,2023-01-06 14:16:00,2023-01-08 10:16:00,1.44,Зима,Зима
878,1463.42,807,50,10,B2C,Физическое лицо,Электроника,Аксессуары,Нижний Новгород,Новосибирск,Розничный,2023-01-06 17:24:00,2023-01-08 19:24:00,0.3,Зима,Зима
3443,67.21,68,49,10,B2B,Юридическое лицо,Электроника,Компьютеры,Сочи,Казань,Розничный,2023-01-06 17:34:00,2023-01-08 18:34:00,22.0,Зима,Зима
1366,191.88,150,29,2,B2C,Юридическое лицо,Одежда,Женская,Москва,Москва,Розничный,2023-01-07 02:06:00,2023-01-08 07:06:00,1.2,Зима,Зима
3997,837.48,716,36,5,B2C,Физическое лицо,Электроника,Компьютеры,Новосибирск,Новосибирск,Розничный,2023-01-07 02:35:00,2023-01-08 14:35:00,25.0,Зима,Зима
3592,712.84,464,40,8,B2C,Физическое лицо,Электроника,Аксессуары,Казань,Краснодар,Оптовый,2023-01-07 04:31:00,2023-01-08 20:31:00,0.104,Зима,Зима
2643,471.01,630,52,8,VIP,Физическое лицо,Одежда,Унисекс,Сочи,Сочи,Розничный,2023-01-07 05:43:00,2023-01-09 09:43:00,1.44,Зима,Зима
2693,484.47,306,4,1,B2B,Физическое лицо,Спорттовары,Тренажеры,Казань,Нижний Новгород,Оптовый,2023-01-07 09:11:00,2023-01-07 13:11:00,26.3,Зима,Зима
589,1293.84,895,67,4,VIP,Физическое лицо,Бытовая техника,Малая техника,Казань,Сочи,Оптовый,2023-01-07 09:22:00,2023-01-10 04:22:00,3.92,Зима,Зима
3470,68.36,35,53,4,B2B,Физическое лицо,Электроника,Аксессуары,Нижний Новгород,Екатеринбург,Розничный,2023-01-07 10:40:00,2023-01-09 15:40:00,1.0,Зима,Зима
3201,605.4,539,26,7,B2B,Физическое лицо,Одежда,Женская,Санкт-Петербург,Сочи,Розничный,2023-01-07 14:47:00,2023-01-08 16:47:00,4.2,Зима,Зима
2459,425.37,346,72,3,B2C,Физическое лицо,Одежда,Мужская,Сочи,Новосибирск,Розничный,2023-01-07 16:37:00,2023-01-10 16:37:00,1.5,Зима,Зима
3089,576.23,369,20,8,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Новосибирск,Оптовый,2023-01-07 20:09:00,2023-01-08 16:09:00,24.4,Зима,Зима
2713,487.3,301,38,10,B2C,Физическое лицо,Электроника,Аксессуары,Казань,Нижний Новгород,Оптовый,2023-01-08 00:33:00,2023-01-09 14:33:00,0.13,Зима,Зима
907,148.52,157,15,3,B2C,Юридическое лицо,Электроника,Мобильные устройства,Москва,Сочи,Розничный,2023-01-08 01:08:00,2023-01-08 16:08:00,1.5,Зима,Зима
2020,337.59,283,67,6,B2C,Физическое лицо,Одежда,Женская,Москва,Краснодар,Розничный,2023-01-08 03:10:00,2023-01-10 22:10:00,1.98,Зима,Зима
4018,844.04,608,66,5,B2C,Физическое лицо,Электроника,Аксессуары,Сочи,Москва,Розничный,2023-01-08 04:49:00,2023-01-10 22:49:00,0.065,Зима,Зима
1638,250.77,501,6,9,B2C,Физическое лицо,Электроника,Аксессуары,Новосибирск,Москва,Розничный,2023-01-08 08:04:00,2023-01-08 14:04:00,0.1169999999999999,Зима,Зима
225,1101.95,764,7,4,B2C,Физическое лицо,Бытовая техника,Малая техника,Москва,Калининград,Розничный,2023-01-08 12:58:00,2023-01-08 19:58:00,36.0,Зима,Зима
4310,947.34,674,27,5,VIP,Физическое лицо,Бытовая техника,Малая техника,Москва,Калининград,Розничный,2023-01-08 23:36:00,2023-01-10 02:36:00,4.9,Зима,Зима
2353,404.37,748,18,8,B2C,Физическое лицо,Электроника,Мобильные устройства,Сочи,Владивосток,Розничный,2023-01-09 00:00:00,2023-01-09 18:00:00,1.36,Зима,Зима
4154,890.12,978,38,4,B2C,Физическое лицо,Электроника,Мобильные устройства,Казань,Владивосток,Розничный,2023-01-09 00:05:00,2023-01-10 14:05:00,2.0,Зима,Зима
1768,278.01,351,37,3,B2C,Физическое лицо,Спорттовары,Тренажеры,Сочи,Владивосток,Розничный,2023-01-09 02:08:00,2023-01-10 15:08:00,78.9,Зима,Зима
2265,387.36,442,37,4,B2B,Физическое лицо,Электроника,Компьютеры,Сочи,Санкт-Петербург,Розничный,2023-01-09 02:38:00,2023-01-10 15:38:00,8.8,Зима,Зима
547,1277.39,803,55,5,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Краснодар,Оптовый,2023-01-09 02:48:00,2023-01-11 09:48:00,17.5,Зима,Зима
4316,949.8,704,37,3,B2C,Физическое лицо,Электроника,Аксессуары,Казань,Владивосток,Оптовый,2023-01-09 04:28:00,2023-01-10 17:28:00,0.039,Зима,Зима
4002,839.37,658,32,3,B2C,Физическое лицо,Электроника,Мобильные устройства,Москва,Сочи,Розничный,2023-01-09 07:42:00,2023-01-10 15:42:00,0.51,Зима,Зима
352,1166.38,755,71,6,B2B,Физическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Нижний Новгород,Розничный,2023-01-09 13:08:00,2023-01-12 12:08:00,3.0,Зима,Зима
337,1154.74,727,53,4,B2C,Физическое лицо,Электроника,Аксессуары,Москва,Москва,Розничный,2023-01-09 17:49:00,2023-01-11 22:49:00,1.0,Зима,Зима
471,1232.96,873,21,4,B2C,Юридическое лицо,Бытовая техника,Малая техника,Новосибирск,Сочи,Розничный,2023-01-09 18:01:00,2023-01-10 15:01:00,12.2,Зима,Зима
635,1317.9,798,63,10,B2C,Юридическое лицо,Одежда,Женская,Казань,Санкт-Петербург,Оптовый,2023-01-09 20:42:00,2023-01-12 11:42:00,3.0,Зима,Зима
130,1054.81,658,3,5,B2C,Физическое лицо,Электроника,Аксессуары,Сочи,Владивосток,Розничный,2023-01-09 22:32:00,2023-01-10 01:32:00,1.25,Зима,Зима
4342,959.48,563,38,8,B2C,Физическое лицо,Одежда,Женская,Нижний Новгород,Сочи,Розничный,2023-01-10 01:28:00,2023-01-11 15:28:00,4.8,Зима,Зима
556,128.41,165,23,5,VIP,Физическое лицо,Бытовая техника,Малая техника,Сочи,Краснодар,Розничный,2023-01-10 04:50:00,2023-01-11 03:50:00,4.9,Зима,Зима
1600,243.38,160,37,9,B2C,Физическое лицо,Электроника,Компьютеры,Сочи,Калининград,Розничный,2023-01-10 10:54:00,2023-01-11 23:54:00,19.8,Зима,Зима
4177,90.44,60,1,9,B2C,Физическое лицо,Бытовая техника,Малая техника,Москва,Нижний Новгород,Розничный,2023-01-10 14:32:00,2023-01-10 15:32:00,81.0,Зима,Зима
2420,418.07,349,3,5,B2B,Физическое лицо,Электроника,Мобильные устройства,Казань,Санкт-Петербург,Оптовый,2023-01-10 19:04:00,2023-01-10 22:04:00,0.8500000000000001,Зима,Зима
3923,810.87,631,22,5,B2B,Физическое лицо,Электроника,Аксессуары,Нижний Новгород,Краснодар,Розничный,2023-01-10 22:11:00,2023-01-11 20:11:00,1.25,Зима,Зима
1137,1666.79,994,55,4,B2B,Физическое лицо,Одежда,Унисекс,Казань,Нижний Новгород,Розничный,2023-01-10 23:13:00,2023-01-13 06:13:00,1.6,Зима,Зима
2659,475.88,366,68,2,B2C,Физическое лицо,Электроника,Компьютеры,Сочи,Казань,Розничный,2023-01-11 02:35:00,2023-01-13 22:35:00,4.4,Зима,Зима
1223,175.83,116,58,3,B2C,Физическое лицо,Электроника,Компьютеры,Москва,Нижний Новгород,Розничный,2023-01-11 06:00:00,2023-01-13 16:00:00,15.0,Зима,Зима
4156,891.16,582,26,2,B2C,Физическое лицо,Спорттовары,Тренажеры,Москва,Казань,Розничный,2023-01-11 08:25:00,2023-01-12 10:25:00,52.6,Зима,Зима
4207,910.22,722,43,3,B2B,Физическое лицо,Одежда,Мужская,Нижний Новгород,Калининград,Розничный,2023-01-11 09:43:00,2023-01-13 04:43:00,2.1,Зима,Зима
2803,507.7,349,6,6,B2C,Физическое лицо,Электроника,Аксессуары,Сочи,Москва,Розничный,2023-01-11 10:58:00,2023-01-11 16:58:00,0.078,Зима,Зима
608,130.55,239,16,4,B2C,Физическое лицо,Электроника,Аксессуары,Новосибирск,Нижний Новгород,Розничный,2023-01-11 11:55:00,2023-01-12 03:55:00,1.0,Зима,Зима
2884,525.39,282,29,8,B2B,Юридическое лицо,Электроника,Мобильные устройства,Сочи,Екатеринбург,Розничный,2023-01-11 14:56:00,2023-01-12 19:56:00,1.36,Зима,Зима
1793,283.43,521,32,5,B2C,Физическое лицо,Электроника,Мобильные устройства,Москва,Новосибирск,Розничный,2023-01-11 15:03:00,2023-01-12 23:03:00,0.8500000000000001,Зима,Зима
3280,624.6,363,34,2,B2C,Физическое лицо,Спорттовары,Тренажеры,Казань,Санкт-Петербург,Розничный,2023-01-11 15:13:00,2023-01-13 01:13:00,52.6,Зима,Зима
1809,286.33,236,14,10,VIP,Физическое лицо,Электроника,Аксессуары,Сочи,Москва,Розничный,2023-01-11 17:34:00,2023-01-12 07:34:00,0.13,Зима,Зима
3359,646.47,544,44,9,B2C,Физическое лицо,Одежда,Женская,Новосибирск,Краснодар,Розничный,2023-01-11 19:25:00,2023-01-13 15:25:00,5.4,Зима,Зима
2621,466.22,510,6,9,B2C,Юридическое лицо,Одежда,Мужская,Санкт-Петербург,Санкт-Петербург,Розничный,2023-01-12 00:27:00,2023-01-12 06:27:00,6.3,Зима,Зима
4298,942.39,533,18,7,B2C,Физическое лицо,Одежда,Мужская,Москва,Санкт-Петербург,Розничный,2023-01-12 02:06:00,2023-01-12 20:06:00,4.9,Зима,Зима
3071,572.19,287,41,2,B2B,Физическое лицо,Электроника,Аксессуары,Нижний Новгород,Краснодар,Розничный,2023-01-12 13:57:00,2023-01-14 06:57:00,0.026,Зима,Зима
551,1278.77,643,55,4,B2C,Физическое лицо,Одежда,Мужская,Сочи,Калининград,Розничный,2023-01-12 14:50:00,2023-01-14 21:50:00,2.0,Зима,Зима
1528,225.73,191,58,2,B2C,Физическое лицо,Бытовая техника,Крупная техника,Нижний Новгород,Калининград,Розничный,2023-01-12 16:33:00,2023-01-15 02:33:00,120.0,Зима,Зима
1677,26.22,20,24,8,B2B,Юридическое лицо,Бытовая техника,Малая техника,Москва,Санкт-Петербург,Розничный,2023-01-12 16:53:00,2023-01-13 16:53:00,7.84,Зима,Зима
2605,461.72,576,9,6,B2C,Физическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Владивосток,Розничный,2023-01-12 17:14:00,2023-01-13 02:14:00,1.02,Зима,Зима
755,1380.63,896,3,1,B2C,Физическое лицо,Одежда,Унисекс,Нижний Новгород,Краснодар,Розничный,2023-01-12 18:44:00,2023-01-12 21:44:00,0.4,Зима,Зима
1466,213.44,162,48,1,B2C,Физическое лицо,Электроника,Компьютеры,Сочи,Сочи,Розничный,2023-01-12 19:46:00,2023-01-14 19:46:00,10.0,Зима,Зима
521,1264.99,772,46,4,B2B,Физическое лицо,Спорттовары,Тренажеры,Москва,Казань,Розничный,2023-01-12 19:51:00,2023-01-14 17:51:00,105.2,Зима,Зима
777,1397.12,840,18,10,B2C,Физическое лицо,Электроника,Компьютеры,Москва,Новосибирск,Розничный,2023-01-12 20:37:00,2023-01-13 14:37:00,50.0,Зима,Зима
847,1439.24,720,13,5,B2C,Физическое лицо,Одежда,Унисекс,Сочи,Новосибирск,Розничный,2023-01-12 21:48:00,2023-01-13 10:48:00,2.0,Зима,Зима
2673,478.8,352,9,7,B2C,Физическое лицо,Электроника,Аксессуары,Сочи,Нижний Новгород,Розничный,2023-01-13 01:25:00,2023-01-13 10:25:00,0.091,Зима,Зима
2724,489.97,294,67,5,B2C,Физическое лицо,Бытовая техника,Малая техника,Нижний Новгород,Краснодар,Розничный,2023-01-13 01:44:00,2023-01-15 20:44:00,45.0,Зима,Зима
3249,615.42,394,44,5,B2C,Юридическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Москва,Розничный,2023-01-13 02:40:00,2023-01-14 22:40:00,0.8500000000000001,Зима,Зима
216,11.46,6,44,4,B2C,Физическое лицо,Электроника,Мобильные устройства,Сочи,Екатеринбург,Розничный,2023-01-13 04:28:00,2023-01-15 00:28:00,0.68,Зима,Зима
1941,319.37,288,1,3,B2C,Физическое лицо,Одежда,Унисекс,Москва,Екатеринбург,Розничный,2023-01-13 04:42:00,2023-01-13 05:42:00,0.54,Зима,Зима
3216,608.49,382,64,5,B2C,Физическое лицо,Спорттовары,Тренажеры,Казань,Нижний Новгород,Оптовый,2023-01-13 06:16:00,2023-01-15 22:16:00,131.5,Зима,Зима
4314,948.94,631,19,5,B2C,Юридическое лицо,Электроника,Аксессуары,Сочи,Калининград,Розничный,2023-01-13 08:53:00,2023-01-14 03:53:00,0.065,Зима,Зима
79,1032.41,879,37,2,B2C,Физическое лицо,Электроника,Аксессуары,Новосибирск,Владивосток,Розничный,2023-01-13 09:12:00,2023-01-14 22:12:00,0.5,Зима,Зима
2950,542.65,452,62,2,B2C,Физическое лицо,Электроника,Мобильные устройства,Казань,Казань,Оптовый,2023-01-13 12:15:00,2023-01-16 02:15:00,0.34,Зима,Зима
1197,1727.59,879,13,3,B2C,Физическое лицо,Спорттовары,Тренажеры,Сочи,Екатеринбург,Розничный,2023-01-13 18:05:00,2023-01-14 07:05:00,78.9,Зима,Зима
1486,217.33,133,26,8,B2C,Физическое лицо,Одежда,Унисекс,Казань,Казань,Розничный,2023-01-13 19:08:00,2023-01-14 21:08:00,3.2,Зима,Зима
207,1092.9,841,25,2,B2C,Юридическое лицо,Бытовая техника,Малая техника,Сочи,Новосибирск,Розничный,2023-01-13 22:01:00,2023-01-14 23:01:00,1.96,Зима,Зима
1134,1661.38,923,1,2,B2B,Юридическое лицо,Бытовая техника,Крупная техника,Казань,Казань,Розничный,2023-01-13 23:41:00,2023-01-14 00:41:00,140.0,Зима,Зима
2981,550.33,279,52,3,B2C,Физическое лицо,Электроника,Мобильные устройства,Казань,Санкт-Петербург,Оптовый,2023-01-13 23:44:00,2023-01-16 03:44:00,0.51,Зима,Зима
4228,915.3,532,16,7,VIP,Физическое лицо,Электроника,Мобильные устройства,Казань,Санкт-Петербург,Оптовый,2023-01-14 00:12:00,2023-01-14 16:12:00,1.1900000000000002,Зима,Зима
322,1147.07,703,27,7,B2C,Физическое лицо,Одежда,Женская,Сочи,Нижний Новгород,Розничный,2023-01-14 04:21:00,2023-01-15 07:21:00,2.31,Зима,Зима
1929,316.68,160,20,1,B2C,Физическое лицо,Одежда,Мужская,Москва,Екатеринбург,Розничный,2023-01-14 07:43:00,2023-01-15 03:43:00,0.3,Зима,Зима
628,1312.85,886,69,7,VIP,Физическое лицо,Одежда,Женская,Сочи,Краснодар,Розничный,2023-01-14 07:59:00,2023-01-17 04:59:00,2.1,Зима,Зима
2390,410.46,232,28,8,B2C,Физическое лицо,Электроника,Аксессуары,Сочи,Краснодар,Розничный,2023-01-14 09:06:00,2023-01-15 13:06:00,0.24,Зима,Зима
3430,666.67,808,46,5,B2C,Физическое лицо,Спорттовары,Тренажеры,Новосибирск,Екатеринбург,Розничный,2023-01-14 13:12:00,2023-01-16 11:12:00,131.5,Зима,Зима
3851,790.95,875,19,3,B2C,Физическое лицо,Электроника,Компьютеры,Новосибирск,Санкт-Петербург,Розничный,2023-01-14 15:44:00,2023-01-15 10:44:00,15.0,Зима,Зима
594,1296.67,697,41,5,B2C,Физическое лицо,Электроника,Мобильные устройства,Казань,Екатеринбург,Розничный,2023-01-14 17:15:00,2023-01-16 10:15:00,0.8500000000000001,Зима,Зима
2471,429.8,376,12,6,B2B,Юридическое лицо,Одежда,Мужская,Нижний Новгород,Санкт-Петербург,Розничный,2023-01-14 18:24:00,2023-01-15 06:24:00,3.0,Зима,Зима
2507,44.99,41,23,6,VIP,Физическое лицо,Бытовая техника,Малая техника,Москва,Санкт-Петербург,Розничный,2023-01-14 20:57:00,2023-01-15 19:57:00,105.0,Зима,Зима
2105,354.64,284,41,6,B2C,Физическое лицо,Одежда,Унисекс,Новосибирск,Казань,Розничный,2023-01-14 21:49:00,2023-01-16 14:49:00,3.6,Зима,Зима
4152,89.46,62,2,10,B2C,Физическое лицо,Электроника,Мобильные устройства,Новосибирск,Владивосток,Розничный,2023-01-14 23:11:00,2023-01-15 01:11:00,1.7000000000000002,Зима,Зима
