sale_id,store_id,customer_id,product_id,sale_date,quantity,total_amount,channel
40,6,4545,91,2023-12-18 19:28:00,4,151040,Оффлайн
41,1,3184,780,2023-04-29 17:15:00,2,186646,Онлайн
42,3,2555,84,2023-10-06 21:20:00,7,558754,Онлайн
43,3,1257,5,2023-06-23 07:36:00,8,185904,Онлайн
44,1,1835,201,2023-09-10 22:37:00,9,713961,Оффлайн
45,6,665,431,2023-07-26 21:59:00,2,67090,Оффлайн
46,3,1162,437,2023-09-02 22:03:00,7,248185,Оффлайн
47,10,1146,200,2023-05-01 12:33:00,3,287151,Онлайн
48,9,3980,318,2023-07-06 00:24:00,9,271476,Онлайн
49,6,4144,573,2023-02-13 21:53:00,3,22281,Онлайн
50,1,4800,304,2023-04-25 20:22:00,6,96720,Онлайн
51,6,3666,576,2023-02-14 12:43:00,6,29010,Онлайн
52,7,3885,84,2023-06-21 17:28:00,2,159644,Оффлайн
53,4,4368,713,2023-07-27 18:09:00,2,17902,Онлайн
54,7,4916,776,2023-02-07 18:08:00,6,351114,Оффлайн
55,2,4585,273,2023-08-22 19:02:00,9,302391,Оффлайн
56,9,1714,202,2023-05-01 13:39:00,10,975380,Оффлайн
57,1,4481,229,2023-10-07 00:10:00,3,244533,Онлайн
58,4,3214,630,2023-06-19 01:38:00,4,10900,Оффлайн
59,6,352,281,2023-11-03 22:44:00,5,144345,Оффлайн
60,1,3731,718,2023-11-28 04:19:00,10,808980,Оффлайн
61,5,3757,504,2023-11-09 16:35:00,2,17762,Онлайн
62,1,1536,626,2023-05-26 11:28:00,9,78417,Оффлайн
63,2,4057,642,2023-01-19 22:41:00,8,68880,Онлайн
64,3,922,428,2023-07-02 05:15:00,9,352737,Оффлайн
65,9,4521,568,2023-08-18 12:30:00,4,32488,Онлайн
66,4,3711,689,2023-01-14 19:28:00,5,28030,Оффлайн
67,9,1373,384,2023-02-09 19:04:00,8,176392,Оффлайн
68,6,2403,623,2023-11-09 17:31:00,7,14742,Онлайн
69,2,2095,415,2023-11-16 18:58:00,7,173348,Оффлайн
70,3,4042,523,2023-03-20 04:20:00,9,52506,Онлайн
71,2,2256,278,2023-09-10 23:02:00,9,45990,Оффлайн
72,3,2791,232,2023-12-15 16:00:00,7,576940,Онлайн
73,6,2079,610,2023-12-16 20:50:00,4,37740,Оффлайн
74,9,1618,693,2023-01-27 22:17:00,1,2046,Оффлайн
75,1,4369,326,2023-07-19 12:46:00,10,389440,Оффлайн
76,2,1567,127,2023-12-18 14:36:00,1,71213,Онлайн
77,3,959,449,2023-12-11 03:10:00,5,87605,Онлайн
78,2,4268,596,2023-06-25 11:17:00,5,44915,Онлайн
79,10,3699,367,2023-09-26 12:29:00,10,369960,Оффлайн
80,2,1736,356,2023-04-11 04:22:00,10,355340,Оффлайн
81,8,908,169,2023-04-06 20:15:00,3,103068,Оффлайн
82,10,3450,630,2023-07-20 07:55:00,4,10900,Онлайн
83,3,1711,500,2023-06-24 12:10:00,5,32390,Онлайн
84,4,3114,318,2023-12-17 21:58:00,6,180984,Онлайн
85,4,882,642,2023-09-30 10:46:00,8,68880,Онлайн
86,8,618,450,2023-06-25 12:10:00,10,208170,Онлайн
87,2,3,170,2023-07-26 18:14:00,4,351968,Оффлайн
88,2,2920,566,2023-09-29 19:50:00,6,40776,Онлайн
89,1,908,214,2023-04-25 16:06:00,9,666288,Оффлайн
90,2,1782,638,2023-07-09 11:01:00,8,16704,Оффлайн
91,5,866,608,2023-07-17 17:20:00,1,3934,Оффлайн
92,6,2953,310,2023-09-07 21:18:00,5,126715,Онлайн
93,10,2035,516,2023-01-04 06:19:00,10,91990,Онлайн
94,5,538,286,2023-12-12 16:52:00,10,382340,Онлайн
95,2,4817,345,2023-02-27 15:38:00,8,162936,Онлайн
96,3,2682,280,2023-01-25 06:33:00,6,107472,Онлайн
97,1,419,616,2023-05-18 01:05:00,6,46644,Онлайн
98,4,2448,411,2023-07-21 09:05:00,6,185970,Оффлайн
99,1,3375,3,2023-08-21 03:20:00,6,287580,Онлайн
100,8,2243,167,2023-02-24 06:46:00,3,91905,Оффлайн
101,8,3601,564,2023-11-14 06:52:00,7,20594,Оффлайн
102,4,4351,106,2023-09-26 03:15:00,7,609896,Оффлайн
103,3,386,408,2023-06-12 01:01:00,10,253840,Оффлайн
104,8,1889,32,2023-03-18 22:55:00,2,188518,Оффлайн
105,2,1267,720,2023-02-14 01:49:00,6,539892,Онлайн
106,9,603,622,2023-08-22 12:39:00,9,86535,Онлайн
107,2,3860,393,2023-12-23 18:33:00,8,286576,Онлайн
108,5,1748,756,2023-11-06 23:53:00,3,276777,Оффлайн
109,6,1364,747,2023-01-04 08:23:00,3,204999,Онлайн
110,5,402,326,2023-09-21 16:35:00,6,233664,Оффлайн
111,10,347,674,2023-03-25 04:59:00,6,28578,Оффлайн
112,3,4400,640,2023-08-02 01:20:00,10,62080,Оффлайн
113,4,764,639,2023-08-19 17:28:00,5,13105,Оффлайн
114,3,3109,461,2023-03-27 04:31:00,6,175104,Оффлайн
115,3,3019,516,2023-12-09 08:34:00,6,55194,Оффлайн
116,8,918,492,2023-07-06 10:50:00,10,45200,Оффлайн
117,2,4775,528,2023-04-02 16:08:00,5,29260,Онлайн
118,4,339,530,2023-02-12 22:27:00,6,14862,Онлайн
119,10,1581,20,2023-03-11 00:56:00,1,83000,Онлайн
120,4,1253,399,2023-03-21 09:23:00,4,25340,Онлайн
121,3,2573,73,2023-02-07 07:08:00,2,159028,Оффлайн
122,10,1498,609,2023-06-12 02:13:00,1,8816,Оффлайн
123,6,3662,152,2023-06-24 15:02:00,9,537048,Онлайн
124,5,464,706,2023-11-21 20:27:00,9,30474,Онлайн
125,9,2781,403,2023-12-16 03:18:00,5,96420,Оффлайн
126,6,1608,172,2023-09-24 16:39:00,7,440461,Оффлайн
127,6,3513,573,2023-10-28 19:45:00,8,59416,Онлайн
128,8,2268,453,2023-09-13 22:59:00,4,144804,Оффлайн
129,4,113,708,2023-08-18 20:50:00,8,30448,Оффлайн
130,2,473,702,2023-11-26 13:09:00,1,4195,Онлайн
131,6,424,656,2023-07-07 16:47:00,3,13104,Оффлайн
132,7,3304,57,2023-05-28 06:04:00,9,894177,Онлайн
133,5,4246,463,2023-03-30 22:34:00,2,65770,Онлайн
134,6,4798,395,2023-04-08 02:08:00,4,111740,Онлайн
135,7,1621,430,2023-11-27 00:40:00,5,177325,Онлайн
136,5,1922,131,2023-01-31 12:47:00,1,24322,Онлайн
137,5,1935,536,2023-09-24 07:26:00,5,40470,Оффлайн
138,10,2096,52,2023-03-23 06:45:00,9,792936,Оффлайн
139,2,3656,544,2023-06-26 00:34:00,3,8988,Оффлайн
140,3,4956,121,2023-07-26 16:45:00,2,126708,Оффлайн
141,5,299,379,2023-04-01 05:57:00,6,63006,Оффлайн
142,7,3999,479,2023-08-26 10:16:00,6,171900,Оффлайн
143,9,2827,752,2023-09-05 04:24:00,3,237429,Онлайн
144,3,2747,420,2023-06-16 04:39:00,2,76316,Оффлайн
145,3,2533,58,2023-07-15 21:35:00,4,376048,Онлайн
146,2,4662,438,2023-07-20 01:35:00,3,89511,Оффлайн
147,8,3782,364,2023-03-03 20:30:00,3,73707,Онлайн
148,8,3353,130,2023-08-23 21:13:00,4,217892,Оффлайн
149,4,941,662,2023-04-22 18:41:00,10,56610,Онлайн
150,1,3186,639,2023-01-15 10:11:00,3,7863,Онлайн
151,1,246,135,2023-10-23 18:58:00,10,688000,Онлайн
152,3,548,651,2023-07-30 05:06:00,7,59892,Оффлайн
153,3,2462,124,2023-12-03 18:04:00,5,282190,Онлайн
154,3,4502,235,2023-10-11 17:09:00,4,61928,Онлайн
155,10,4715,689,2023-06-16 20:23:00,4,22424,Онлайн
156,1,3831,721,2023-06-13 17:19:00,5,322535,Оффлайн
157,2,2521,467,2023-03-04 15:46:00,8,200752,Оффлайн
158,8,1758,264,2023-04-23 05:51:00,7,268688,Оффлайн
159,10,1476,69,2023-05-07 00:36:00,6,538908,Оффлайн
160,2,3074,461,2023-05-10 18:51:00,8,233472,Онлайн
161,2,3841,432,2023-04-03 14:38:00,10,225890,Оффлайн
162,7,2223,478,2023-01-02 05:36:00,3,73242,Оффлайн
163,4,4323,709,2023-02-05 05:03:00,6,48066,Онлайн
164,2,221,535,2023-12-08 19:29:00,9,58338,Оффлайн
165,1,1154,718,2023-02-27 06:31:00,6,485388,Онлайн
166,6,1077,402,2023-10-24 17:58:00,9,324315,Онлайн
167,8,2116,514,2023-03-08 04:01:00,2,8128,Онлайн
168,10,4214,512,2023-07-06 12:46:00,1,5429,Онлайн
169,5,3611,233,2023-03-30 01:56:00,1,29410,Оффлайн
170,9,2426,94,2023-10-11 15:38:00,8,406856,Оффлайн
171,6,2518,253,2023-06-28 21:13:00,6,215082,Оффлайн
172,1,3991,243,2023-04-05 07:40:00,9,272313,Оффлайн
173,2,306,678,2023-02-01 01:12:00,1,7381,Оффлайн
174,1,853,230,2023-06-04 07:59:00,7,103054,Онлайн
175,1,4749,44,2023-10-21 18:20:00,2,153568,Оффлайн
176,2,4280,476,2023-02-04 11:53:00,3,34764,Онлайн
177,1,1314,618,2023-10-20 02:01:00,3,6645,Онлайн
178,6,455,739,2023-10-28 23:22:00,1,88491,Онлайн
179,4,3583,544,2023-06-05 06:30:00,5,14980,Онлайн
180,3,1337,430,2023-01-30 19:52:00,4,141860,Онлайн
181,9,1161,679,2023-10-23 13:30:00,2,12694,Онлайн
182,5,1544,391,2023-12-18 18:31:00,2,65254,Онлайн
183,2,3414,315,2023-03-16 12:03:00,3,29316,Онлайн
184,7,2195,332,2023-03-01 06:10:00,2,68008,Оффлайн
185,6,2262,319,2023-07-29 14:48:00,3,112197,Онлайн
186,5,4550,700,2023-02-28 19:49:00,2,14988,Онлайн
187,6,485,49,2023-02-27 12:25:00,2,198384,Онлайн
188,5,3933,239,2023-04-03 01:07:00,10,993990,Онлайн
189,7,3002,414,2023-08-17 04:46:00,6,125490,Оффлайн
190,2,4425,595,2023-05-08 06:59:00,10,54930,Онлайн
191,4,4573,345,2023-01-19 09:36:00,4,81468,Оффлайн
192,2,2472,368,2023-07-14 10:13:00,9,174420,Онлайн
193,8,2377,579,2023-12-05 05:29:00,5,43390,Онлайн
194,4,3407,392,2023-03-18 09:11:00,2,20734,Онлайн
195,9,758,116,2023-05-26 00:50:00,9,342720,Оффлайн
196,5,2622,291,2023-11-17 16:08:00,6,80046,Онлайн
197,7,4688,88,2023-10-23 21:20:00,3,94929,Онлайн
198,5,3914,489,2023-11-02 09:24:00,3,28029,Онлайн
199,2,24,24,2023-10-30 06:44:00,6,85242,Оффлайн
200,4,2326,480,2023-07-14 02:51:00,1,16759,Онлайн
201,2,3898,4,2023-12-08 18:38:00,6,122748,Онлайн
202,2,3720,691,2023-12-22 18:31:00,1,2145,Онлайн
203,2,3878,136,2023-04-28 14:07:00,3,195888,Оффлайн
204,10,1614,569,2023-04-08 13:59:00,6,54414,Оффлайн
205,8,118,690,2023-10-04 11:24:00,5,18700,Онлайн
206,6,1499,777,2023-04-19 00:16:00,2,170806,Онлайн
207,4,2321,493,2023-01-14 04:30:00,1,5636,Оффлайн
208,10,3671,1,2023-03-05 11:39:00,3,57348,Оффлайн
209,3,4679,328,2023-04-29 17:31:00,5,106655,Онлайн
210,7,2166,340,2023-03-27 19:39:00,1,39163,Оффлайн
211,9,638,278,2023-02-13 13:27:00,10,51100,Онлайн
212,4,1974,623,2023-07-31 07:08:00,3,6318,Оффлайн
213,10,3054,782,2023-09-29 20:57:00,2,146954,Оффлайн
214,10,736,308,2023-06-13 08:55:00,3,33360,Онлайн
215,1,1881,262,2023-04-24 22:45:00,5,47745,Онлайн
216,7,4184,463,2023-05-08 01:07:00,1,32885,Оффлайн
217,8,2554,661,2023-07-27 15:36:00,8,42432,Оффлайн
218,6,1977,619,2023-08-05 09:39:00,2,18498,Оффлайн
219,3,4297,620,2023-08-15 18:43:00,6,46476,Оффлайн
220,1,554,523,2023-05-26 13:53:00,3,17502,Онлайн
221,7,1513,121,2023-05-09 15:53:00,2,126708,Онлайн
222,4,1790,534,2023-05-09 14:27:00,1,9179,Онлайн
223,9,2038,735,2023-01-23 17:03:00,2,159458,Онлайн
224,1,221,103,2023-01-20 06:01:00,7,89299,Онлайн
225,2,604,97,2023-02-21 14:25:00,5,294720,Онлайн
226,10,363,173,2023-09-08 05:27:00,9,231417,Онлайн
227,9,4476,20,2023-10-06 00:33:00,2,166000,Оффлайн
228,9,2261,762,2023-08-18 03:09:00,10,934350,Онлайн
229,4,1638,558,2023-02-25 10:45:00,1,4134,Оффлайн
230,8,577,394,2023-02-13 06:32:00,1,6270,Оффлайн
231,1,1289,674,2023-08-20 03:15:00,1,4763,Оффлайн
232,1,3696,708,2023-12-31 07:21:00,2,7612,Онлайн
233,1,3073,682,2023-05-28 11:33:00,5,29985,Оффлайн
234,4,4602,207,2023-06-03 06:51:00,7,168203,Онлайн
235,9,787,389,2023-02-28 22:12:00,1,29846,Онлайн
236,9,2997,387,2023-10-17 13:11:00,6,208794,Оффлайн
237,6,1651,634,2023-08-17 13:45:00,7,19705,Оффлайн
238,8,4818,256,2023-09-12 00:13:00,2,50000,Онлайн
239,10,3065,587,2023-06-20 06:42:00,4,13432,Оффлайн
240,8,4526,104,2023-03-22 14:59:00,5,435550,Оффлайн
241,9,1271,374,2023-07-21 13:52:00,3,47448,Онлайн
242,2,2785,608,2023-06-30 18:04:00,9,35406,Онлайн
243,8,113,98,2023-03-12 22:54:00,8,539376,Онлайн
244,10,4758,743,2023-01-17 01:17:00,7,650440,Оффлайн
245,6,1087,7,2023-08-06 03:19:00,6,416574,Онлайн
246,6,3507,122,2023-02-04 03:03:00,8,279656,Оффлайн
247,7,1316,690,2023-12-08 14:07:00,5,18700,Онлайн
248,4,807,541,2023-01-11 23:41:00,5,33900,Онлайн
249,10,2138,391,2023-10-06 17:04:00,10,326270,Оффлайн
250,8,3042,341,2023-10-21 00:20:00,4,82716,Онлайн
251,8,2925,605,2023-06-12 05:02:00,5,7710,Онлайн
252,1,2124,172,2023-10-29 09:41:00,10,629230,Оффлайн
253,6,2323,382,2023-07-22 19:33:00,8,135272,Онлайн
254,10,2501,738,2023-11-28 02:12:00,8,789616,Оффлайн
255,10,1357,116,2023-12-17 03:52:00,7,266560,Оффлайн
256,9,1981,122,2023-11-05 17:47:00,5,174785,Онлайн
257,3,570,154,2023-07-30 12:06:00,3,134280,Онлайн
258,3,722,536,2023-09-06 09:03:00,8,64752,Оффлайн
259,3,2156,647,2023-10-20 08:15:00,4,9012,Онлайн
260,3,1566,392,2023-06-15 13:11:00,4,41468,Оффлайн
261,8,111,329,2023-10-26 18:58:00,2,69828,Оффлайн
262,7,1269,658,2023-01-08 02:45:00,5,27225,Онлайн
263,9,1068,113,2023-08-09 21:08:00,1,41195,Онлайн
264,10,1215,134,2023-08-28 01:32:00,8,642336,Онлайн
265,5,1725,315,2023-02-24 02:26:00,1,9772,Онлайн
266,5,2468,510,2023-12-05 21:42:00,1,5835,Оффлайн
267,10,241,441,2023-02-18 17:51:00,2,33834,Онлайн
268,7,3369,276,2023-07-09 21:44:00,10,216930,Оффлайн
269,8,363,490,2023-03-17 03:05:00,8,69728,Онлайн
270,6,1810,488,2023-10-03 16:40:00,10,61580,Оффлайн
271,1,3572,293,2023-12-05 16:01:00,2,59694,Оффлайн
272,4,3173,605,2023-05-14 09:34:00,3,4626,Онлайн
273,8,484,46,2023-03-03 14:56:00,6,97050,Онлайн
274,9,4725,509,2023-10-20 14:32:00,6,29424,Оффлайн
275,7,307,121,2023-01-06 17:11:00,1,63354,Онлайн
276,3,3106,633,2023-05-13 17:02:00,7,56084,Оффлайн
277,3,3765,233,2023-06-13 15:42:00,2,58820,Онлайн
278,4,2279,697,2023-04-07 12:36:00,2,16614,Оффлайн
279,10,1844,490,2023-11-01 12:05:00,2,17432,Онлайн
280,5,4605,328,2023-09-19 15:43:00,10,213310,Оффлайн
281,6,616,545,2023-03-26 19:42:00,7,12873,Онлайн
282,6,1831,763,2023-08-26 23:48:00,7,644378,Оффлайн
283,2,388,397,2023-12-07 20:03:00,5,38190,Онлайн
284,7,551,772,2023-10-29 11:14:00,2,128304,Оффлайн
285,5,4716,589,2023-02-15 18:27:00,2,8044,Оффлайн
286,4,4956,84,2023-08-07 01:31:00,9,718398,Онлайн
287,2,2397,611,2023-04-01 15:18:00,9,64386,Онлайн
288,7,370,738,2023-06-20 23:24:00,6,592212,Онлайн
289,1,2711,744,2023-08-24 18:51:00,7,395423,Онлайн
290,4,4271,214,2023-05-30 20:02:00,10,740320,Оффлайн
291,5,2422,502,2023-12-26 20:18:00,10,83180,Оффлайн
292,9,4276,517,2023-07-16 17:15:00,5,31355,Оффлайн
293,1,1857,84,2023-01-14 08:28:00,9,718398,Оффлайн
294,1,1297,26,2023-03-19 02:28:00,1,45093,Онлайн
295,3,3897,624,2023-10-15 10:06:00,7,68103,Онлайн
296,9,4868,60,2023-03-23 11:37:00,4,98484,Оффлайн
297,9,3877,554,2023-05-21 17:34:00,3,21600,Онлайн
298,9,145,408,2023-09-15 18:50:00,4,101536,Оффлайн
299,9,3089,470,2023-10-01 12:34:00,9,158589,Онлайн
300,5,3120,220,2023-11-11 01:56:00,7,376033,Онлайн
301,4,2781,388,2023-05-13 12:30:00,3,79260,Оффлайн
302,8,4945,726,2023-11-05 18:04:00,7,647836,Онлайн
303,9,2440,695,2023-11-16 02:05:00,5,14880,Онлайн
304,1,1042,572,2023-04-20 03:37:00,4,39976,Оффлайн
305,8,1321,598,2023-12-05 19:40:00,3,13866,Онлайн
306,2,2245,167,2024-01-01 13:06:00,4,122540,Онлайн
307,7,3799,681,2023-09-01 23:26:00,1,1859,Оффлайн
308,6,2164,507,2023-04-06 07:02:00,5,32515,Оффлайн
309,7,1825,350,2023-10-12 16:06:00,7,104188,Оффлайн
310,5,4687,572,2023-12-25 00:58:00,3,29982,Оффлайн
311,1,2058,602,2023-05-23 09:31:00,3,24894,Оффлайн
312,4,2729,590,2023-03-05 19:06:00,7,43967,Оффлайн
313,8,2062,526,2023-11-29 01:55:00,4,20732,Оффлайн
314,6,4162,309,2023-05-21 00:50:00,10,203920,Оффлайн
315,10,687,165,2023-07-25 02:30:00,8,607272,Онлайн
316,4,562,106,2023-09-22 04:44:00,5,435640,Онлайн
317,4,3307,442,2023-10-07 17:58:00,1,36952,Оффлайн
318,1,4732,201,2023-08-25 17:09:00,2,158658,Оффлайн
319,8,2970,290,2023-02-10 14:17:00,7,170632,Онлайн
320,1,3479,367,2023-04-26 10:39:00,3,110988,Оффлайн
321,3,1542,446,2023-11-17 12:16:00,9,209943,Оффлайн
322,3,4856,680,2023-11-12 21:34:00,10,63370,Онлайн
323,2,2755,96,2023-12-24 18:25:00,10,951800,Оффлайн
324,6,4358,750,2023-06-09 16:24:00,10,742830,Оффлайн
325,6,804,730,2023-12-19 02:20:00,6,493704,Оффлайн
326,1,1331,552,2023-06-10 21:03:00,2,5988,Онлайн
327,3,916,673,2023-11-11 04:46:00,10,64490,Онлайн
328,5,4707,275,2023-01-30 21:49:00,8,241952,Оффлайн
329,2,1702,27,2023-05-07 22:59:00,7,130725,Онлайн
330,5,3163,481,2023-06-29 03:04:00,8,47416,Онлайн
331,10,1914,196,2023-08-05 21:46:00,1,47353,Онлайн
332,7,4994,338,2023-11-02 17:48:00,9,197874,Оффлайн
333,8,677,33,2023-04-17 13:20:00,4,280568,Оффлайн
334,2,2795,683,2023-12-30 20:08:00,2,3264,Оффлайн
335,9,4994,31,2023-06-17 11:38:00,1,75435,Оффлайн
336,1,3360,692,2023-09-06 00:03:00,1,8722,Оффлайн
337,5,976,337,2023-03-11 09:33:00,10,344950,Оффлайн
338,7,982,56,2023-04-02 01:18:00,7,694162,Оффлайн
339,8,4085,71,2023-12-16 08:50:00,9,531081,Оффлайн
340,7,2008,609,2023-08-09 15:26:00,1,8816,Оффлайн
341,6,286,357,2023-08-12 08:10:00,1,32248,Оффлайн
342,9,1651,196,2023-06-11 13:55:00,6,284118,Оффлайн
343,5,1371,204,2023-08-15 10:34:00,1,23577,Оффлайн
344,6,4243,61,2023-06-07 10:14:00,4,267940,Онлайн
345,8,982,305,2023-08-06 04:15:00,6,63342,Оффлайн
346,7,2267,512,2023-07-27 12:50:00,3,16287,Онлайн
347,1,2110,187,2023-08-03 10:44:00,5,257205,Онлайн
348,4,2966,597,2023-02-25 12:40:00,6,23214,Оффлайн
349,5,4738,130,2023-04-28 01:00:00,7,381311,Онлайн
350,6,3661,632,2023-04-06 03:11:00,3,17526,Оффлайн
351,7,2573,400,2023-04-03 14:27:00,8,119888,Оффлайн
352,1,627,501,2023-06-09 12:08:00,6,33396,Онлайн
353,1,4956,681,2023-07-19 00:06:00,2,3718,Онлайн
354,10,2423,692,2023-05-24 22:06:00,2,17444,Оффлайн
355,10,2378,552,2023-09-15 08:34:00,9,26946,Оффлайн
356,2,3697,747,2023-01-31 00:48:00,9,614997,Онлайн
357,3,2330,255,2023-02-25 15:37:00,9,316494,Оффлайн
358,6,1425,744,2023-09-04 22:31:00,9,508401,Онлайн
359,7,4410,190,2023-04-11 02:11:00,10,196020,Оффлайн
360,2,2605,380,2023-08-16 00:59:00,5,165445,Оффлайн
361,6,2458,731,2023-03-11 22:26:00,5,288050,Онлайн
362,4,3325,490,2023-11-23 13:04:00,3,26148,Онлайн
363,10,736,1,2023-03-26 01:13:00,9,172044,Оффлайн
364,7,1477,504,2023-04-28 23:48:00,8,71048,Оффлайн
365,1,1632,163,2023-04-27 13:22:00,10,511040,Оффлайн
366,5,1857,245,2023-09-30 01:29:00,9,281691,Оффлайн
367,10,1656,735,2023-11-22 05:23:00,5,398645,Онлайн
368,9,1601,93,2023-06-08 04:07:00,9,327285,Онлайн
369,5,20,768,2023-09-15 10:56:00,5,435000,Оффлайн
370,8,4963,347,2023-05-18 01:02:00,7,189070,Оффлайн
371,3,541,777,2023-06-06 20:23:00,5,427015,Оффлайн
372,1,3015,653,2023-06-23 23:09:00,4,22000,Онлайн
373,1,2101,423,2023-02-27 04:12:00,3,111375,Оффлайн
374,8,2313,736,2023-05-27 17:39:00,8,594512,Онлайн
375,7,1162,341,2023-08-19 14:57:00,7,144753,Онлайн
376,6,2573,219,2023-05-05 21:18:00,3,31392,Оффлайн
377,10,1784,51,2023-03-28 00:12:00,9,543888,Оффлайн
378,9,852,430,2023-12-17 05:52:00,2,70930,Оффлайн
379,1,1698,373,2023-07-01 22:00:00,9,243252,Онлайн
380,9,4610,691,2023-02-04 19:50:00,7,15015,Онлайн
381,2,490,711,2023-01-22 08:21:00,4,31856,Онлайн
382,2,4558,200,2023-07-17 19:50:00,4,382868,Оффлайн
383,4,812,254,2023-10-07 16:53:00,3,54237,Оффлайн
384,3,707,703,2023-11-16 07:21:00,4,22840,Оффлайн
385,5,2945,124,2023-01-07 01:54:00,2,112876,Онлайн
386,5,2987,433,2023-07-22 14:30:00,9,235098,Оффлайн
387,2,1473,252,2023-09-21 02:53:00,7,420980,Оффлайн
388,2,1870,557,2023-03-30 08:16:00,5,16065,Оффлайн
389,8,4498,33,2023-05-14 08:27:00,1,70142,Онлайн
390,2,421,450,2023-10-01 11:44:00,2,41634,Оффлайн
391,2,192,265,2023-11-05 19:13:00,8,249544,Онлайн
392,2,624,67,2023-01-08 20:43:00,6,562488,Онлайн
393,4,2561,521,2023-11-26 19:07:00,3,26814,Оффлайн
394,8,3849,400,2023-09-15 16:42:00,5,74930,Оффлайн
395,8,431,139,2023-11-15 18:37:00,7,299194,Онлайн
396,9,3353,753,2023-12-20 19:03:00,5,368840,Оффлайн
397,4,4463,364,2023-09-04 18:44:00,3,73707,Оффлайн
398,3,3964,287,2023-02-23 08:53:00,8,202152,Онлайн
399,4,917,388,2023-05-10 12:14:00,1,26420,Онлайн
400,8,2995,659,2023-11-03 17:47:00,7,67571,Оффлайн
401,7,2761,482,2023-03-31 08:08:00,4,53180,Онлайн
402,7,866,142,2023-10-31 14:10:00,9,205497,Онлайн
403,7,2481,487,2023-05-02 18:50:00,2,6360,Онлайн
404,5,3497,247,2023-02-27 20:42:00,9,119232,Оффлайн
405,9,3440,228,2023-01-16 12:58:00,3,59586,Онлайн
406,4,4890,753,2023-03-30 16:55:00,9,663912,Онлайн
407,4,865,23,2023-12-31 18:35:00,4,160084,Онлайн
408,1,2002,730,2023-03-16 03:02:00,2,164568,Онлайн
409,5,3586,391,2023-04-05 07:11:00,1,32627,Онлайн
410,8,23,743,2023-02-02 22:33:00,7,650440,Оффлайн
411,8,942,438,2023-08-11 12:07:00,1,29837,Онлайн
412,9,3204,556,2023-09-18 20:38:00,9,60840,Оффлайн
413,6,1702,431,2023-07-17 03:00:00,9,301905,Онлайн
414,1,1218,45,2023-06-01 06:23:00,7,153405,Онлайн
415,3,2494,655,2023-05-28 01:58:00,4,17140,Оффлайн
416,9,633,299,2023-06-13 20:15:00,2,52236,Онлайн
417,1,1667,300,2023-09-05 08:26:00,9,305568,Онлайн
418,6,961,548,2023-04-10 10:19:00,7,61215,Оффлайн
